,time_stamp,region,sell_code,sell_name,description,Тбилиси,готовых,предзаказ,город,вес,BTC,ք,₴,Br,$,Nadzaladevi,Дигоми,€,Didube,Saburtalo,Gldani,Vake,Old Tbilisi (Старый город),Авлобари,Varketili,Батуми,Центр,Кутаиси,desc_en
0,14-07-2020 12:33:08,Tbilisi,X4ZM,ZYX,NEW ! Afghan HQ buds ! NEW ! 0.5G,True,4,нет,Тбилиси,0.5 гр,0.0034,2335,902,80,33,,,,,,,,,,,,,,NEW ! Afghan HQ buds ! NEW ! 0.5G
1,14-07-2020 12:33:08,Tbilisi,LGRP8,Walker12,Новости ! Наш магазин предлагает новые продукты !! Original Gangster !! 0.5 !!,,6,нет,Тбилиси,0.5 гр,0.0031,2122,820,73,30,True,,,,,,,,,,,,,Novosti ! Nash magazin predlagaet novye produkty !! Original Gangster !! 0.5 !!
2,14-07-2020 12:33:08,Tbilisi,QVK5,Galiak,уро / Hammer 0.5G 100%шишки! LIMITED,,1,нет,Тбилиси,0.5 гр,0.0036,2476,957,85,35,,True,,,,,,,,,,,,uro / Hammer 0.5G 100%shishki! LIMITED
3,14-07-2020 12:33:08,Tbilisi,6KB,Marioshop,🧞‍♂️☄🍭 RQS©️ Green Gelato™️ Regular(Photo) 26% THC®️ 0.5g 🍭☄🧞‍♀️,True,1,нет,Тбилиси,0.5 гр,0.0042,2803,1084,96,,,,35,,,,,,,,,,,🧞‍♂️☄🍭 RQS©️ Green Gelato™️ Regular(Photo) 26% THC®️ 0.5g 🍭☄🧞‍♀️
4,14-07-2020 12:33:08,Tbilisi,BB6E,WEEDSH0P,"1 gr , california ,GORILLA GLUE марихуана BUDS btc sale 1%",True,7,нет,Тбилиси,1 гр,0.0063,4245,1640,145,60,,,,,,,,,,,,,,"1 gr , california ,GORILLA GLUE marihuana BUDS btc sale 1%"
5,14-07-2020 12:33:08,Tbilisi,03F3,geoshop,1 gr Amnesia Haze шишки импорт с европы тгк 28%,True,1,нет,Тбилиси,1 гр,0.0063,4245,1640,145,60,,,,,,,,,,,,,,1 gr Amnesia Haze shishki import s evropy tgk 28%
6,14-07-2020 12:33:08,Tbilisi,BB6E,WEEDSH0P,"1 gr california import Durban Poison марихуана BUDS 24% thc , sativa , если платите с бтк скидка",True,1,нет,Тбилиси,1 гр,0.0057,3891,1503,133,55,,,,,,,,,,,,,,"1 gr california import Durban Poison marihuana BUDS 24% thc , sativa , esli platite s btk skidka"
7,14-07-2020 12:33:08,Tbilisi,SF03,CRAZYFROG,1 gr top buds white widow wишки THC 25% VHQ,True,9,нет,Тбилиси,1 гр,0.0061,4174,1612,143,59,,,,,,,,,,,,,,1 gr top buds white widow wishki THC 25% VHQ
8,14-07-2020 12:33:08,Tbilisi,03F3,geoshop,1 marijuana BUDS northen lights 24% THC ШИШКИ!!!,True,4,нет,Тбилиси,1 гр,0.0063,4245,1640,145,60,,,,,,,,,,,,,,1 marijuana BUDS northen lights 24% THC ShIShKI!!!
9,14-07-2020 12:33:08,Tbilisi,3Y9,HIGHTHC,1 г SOUR DIESEL марихуана шишки топ качество тгк 28%,True,3,нет,Тбилиси,1 гр,0.0061,4174,1612,143,59,,,,,,,,,,,,,,1 g SOUR DIESEL marihuana shishki top kachestvo tgk 28%
10,14-07-2020 12:33:08,Tbilisi,ABOAB,ProGrow,1G ---> Big Devil (BTC - Sale),True,11,нет,Тбилиси,1 гр,0.0057,3891,1503,133,55,,,,,,,,,,,,,,1G ---> Big Devil (BTC - Sale)
11,14-07-2020 12:33:08,Tbilisi,BB6E,WEEDSH0P,1гр new!! OG kush марихуана BUDS 23% thc если платите с бтк скидка 10% 49реално !,True,3,нет,Тбилиси,1 гр,0.0063,4245,1640,145,60,,,,,,,,,,,,,,1gr new!! OG kush marihuana BUDS 23% thc esli platite s btk skidka 10% 49realno !
12,14-07-2020 12:33:08,Tbilisi,XUYA,MRweed,"Amnesia Haze (photoperiod, regular) 1 гр. Спокойно, Надёжно, Качественно.",True,1,нет,Тбилиси,1 гр,0.0052,3891,1503,133,55,,,,,,,,,,,,,,"Amnesia Haze (photoperiod, regular) 1 gr. Spokojno, Nadezhno, Kachestvenno."
13,14-07-2020 12:33:08,Tbilisi,QVK5,Galiak,Gorilla Glue 1G Super strong weed LIMITED,,2,нет,Тбилиси,1 гр,0.0063,4245,1640,145,60,,True,,,,,,,,,,,,Gorilla Glue 1G Super strong weed LIMITED
14,14-07-2020 12:33:08,Tbilisi,X4ZM,ZYX,NEW ! Auto Opium ! NEW ! BUDS ! 1G VHQ !,True,2,нет,Тбилиси,1 гр,0.006,4103,1585,140,58,,,,,,,,,,,,,,NEW ! Auto Opium ! NEW ! BUDS ! 1G VHQ !
15,14-07-2020 12:33:08,Tbilisi,X4ZM,ZYX,NEW ! Super Critical ! NEW ! BUDS ! 1G,True,1,нет,Тбилиси,1 гр,0.0057,3891,1503,133,55,,,,,,,,,,,,,,NEW ! Super Critical ! NEW ! BUDS ! 1G
16,14-07-2020 12:33:08,Tbilisi,GYO,Hakeem,White Russian - сорт чемпион ! Накуривает мощно.На магните.Вес всегда больше 1 грамма.,True,1,нет,Тбилиси,1 гр,0.0052,3891,1503,133,55,,,,,,,,,,,,,,White Russian - sort chempion ! Nakurivaet moschno.Na magnite.Ves vsegda bol'she 1 gramma.
17,14-07-2020 12:33:08,Tbilisi,6KB,Marioshop,🧞‍♂️☄🍭 RQS©️ Green Gelato™️ Regular(Photo) 26% THC®️ 1g 🍭☄🧞‍♀️,True,4,нет,Тбилиси,1 гр,0.0071,4806,1858,164,,,,60,,,,,,,,,,,🧞‍♂️☄🍭 RQS©️ Green Gelato™️ Regular(Photo) 26% THC®️ 1g 🍭☄🧞‍♀️
18,14-07-2020 12:33:08,Tbilisi,BB6E,WEEDSH0P,"2 g Super Lemon Haze auto , марихуана BUDS thc 25% если платите с бтк скидка .5%",True,1,нет,Тбилиси,2 гр,0.0115,7782,3006,266,110,,,,,,,,,,,,,,"2 g Super Lemon Haze auto , marihuana BUDS thc 25% esli platite s btk skidka .5%"
19,14-07-2020 12:33:08,Tbilisi,03F3,geoshop,2 gr Amnesia Haze шишки импорт с европы тгк 28%,True,8,нет,Тбилиси,2 гр,0.0125,8490,3280,290,120,,,,,,,,,,,,,,2 gr Amnesia Haze shishki import s evropy tgk 28%
