,Unnamed: 0,time_stamp,region,sell_code,description,Тбилиси,готовых,предзаказ,город,вес,BTC,ք,₴,Br,$,Saburtalo,Дигоми,Vake,Old Tbilisi (Старый город),Авлобари,Центр,Батуми,Кутаиси,desc_en
0,0,16-02-2020 07:47:57,Tbilisi,61df6a1c90,Метадон 0.15гр,True,2,нет,Тбилиси,0.15 гр,0.0115,8249,3203,286,130.0,,,,,,,,,Metadon 0.15gr
1,1,16-02-2020 07:47:57,Tbilisi,4b4cde4fad,Iranian Sirec 0.25g. PODEZD,True,2,нет,Тбилиси,0.25 гр,0.0058,3807,1478,132,60.0,,,,,,,,,Iranian Sirec 0.25g. PODEZD
2,2,16-02-2020 07:47:57,Tbilisi,8ec76151d3,Metadon VHQ 0.25 24/7,True,10,нет,Тбилиси,0.25 гр,0.0159,11422,4435,396,180.0,,,,,,,,,Metadon VHQ 0.25 24/7
3,3,16-02-2020 07:47:57,Tbilisi,32e645c201,"methadone 0,29 gr",,3,нет,Тбилиси,0.29 гр,0.0204,13325,5174,462,210.0,True,,,,,,,,"methadone 0,29 gr"
4,4,16-02-2020 07:47:57,Tbilisi,c72111ac1a,"NZT-52 mind storm limited 0,3г мука",True,2,нет,Тбилиси,0.3 гр,0.0062,4442,1725,154,70.0,,,,,,,,,"NZT-52 mind storm limited 0,3g muka"
5,5,16-02-2020 07:47:57,Tbilisi,61df6a1c90,Метадон 0.30гр,True,3,нет,Тбилиси,0.3 гр,0.0158,12056,4682,418,190.0,,,,,,,,,Metadon 0.30gr
6,6,16-02-2020 07:47:57,Tbilisi,366326d4d6,"0,5 g MDMA - !!!NEW!!! - Purity 93%",True,1,нет,Тбилиси,0.5 гр,0.0068,4378,1700,152,69.0,,,,,,,,,"0,5 g MDMA - !!!NEW!!! - Purity 93%"
7,7,16-02-2020 07:47:57,Tbilisi,366326d4d6,"0,5gr. Columbian Cocaine NEW SALE! SALE!**************NEW SALE! SALE!",True,10,нет,Тбилиси,0.5 гр,0.0117,7551,2932,262,119.0,,,,,,,,,"0,5gr. Columbian Cocaine NEW SALE! SALE!**************NEW SALE! SALE!"
8,8,16-02-2020 07:47:57,Tbilisi,366326d4d6,0.5 g. Ketamine,True,1,нет,Тбилиси,0.5 гр,0.0058,3744,1454,130,59.0,,,,,,,,,0.5 g. Ketamine
9,9,16-02-2020 07:47:57,Tbilisi,8219f5e7b8,"Cocaine, 0.5 g",True,6,нет,Тбилиси,0.5 гр,0.0108,6980,2710,242,110.0,,,,,,,,,"Cocaine, 0.5 g"
10,10,16-02-2020 07:47:57,Tbilisi,8ec76151d3,Metadon VHQ 0.5 24/7,True,3,нет,Тбилиси,0.5 гр,0.0256,18402,7146,638,290.0,,,,,,,,,Metadon VHQ 0.5 24/7
11,11,16-02-2020 07:47:57,Tbilisi,1768a14bbd,"NEW Sale!! Cocaine 0,5 гр. HQ",True,4,нет,Тбилиси,0.5 гр,0.0097,6282,2439,218,99.0,,,,,,,,,"NEW Sale!! Cocaine 0,5 gr. HQ"
12,12,16-02-2020 07:47:57,Tbilisi,61df6a1c90,Метадон 0.6гр,True,4,нет,Тбилиси,0.6 гр,0.0265,19036,7392,660,300.0,,,,,,,,,Metadon 0.6gr
13,13,16-02-2020 07:47:57,Tbilisi,97bbc3dfd6,SUBUTEX B8 (ORIGINAL) 0.8 гр. (1 штука) ВНИМАНИЕ! НЕДЕЛЬНАЯ РАСПРОДАЖА! 120$!,True,6,нет,Тбилиси,0.8 гр,0.0117,7614,2957,264,120.0,,,,,,,,,SUBUTEX B8 (ORIGINAL) 0.8 gr. (1 shtuka) VNIMANIE! NEDEL'NAJa RASPRODAZhA! 120$!
14,14,16-02-2020 07:47:57,Tbilisi,7c395c455d,1 gr mdma Кристаллы очен силни импорт с европи,True,7,нет,Тбилиси,1 гр,0.0117,7614,2957,264,120.0,,,,,,,,,1 gr mdma Kristally ochen silni import s evropi
15,15,16-02-2020 07:47:57,Tbilisi,64284550d9,1G -- AK-47 -> Sativa,,10,нет,Тбилиси,1 гр,0.0039,2602,1010,90,41.0,True,,,,,,,,1G -- AK-47 -> Sativa
16,16,16-02-2020 07:47:57,Tbilisi,366326d4d6,1g MDMA - !!!NEW!!! - Purity 93%,True,2,нет,Тбилиси,1 гр,0.0107,6916,2686,240,109.0,,,,,,,,,1g MDMA - !!!NEW!!! - Purity 93%
17,17,16-02-2020 07:47:57,Tbilisi,7c395c455d,1gr bubble hash thc 25% гашиш вишего качество HQ,True,1,нет,Тбилиси,1 гр,0.0083,5394,2094,187,85.0,,,,,,,,,1gr bubble hash thc 25% gashish vishego kachestvo HQ
18,18,16-02-2020 07:47:57,Tbilisi,366326d4d6,1gr. Columbian Cocaine !!!!!!!!MEGA SALE!*****MEGA SALE!!!!!!!!!!,True,9,нет,Тбилиси,1 гр,0.0194,12564,4879,435,198.0,,,,,,,,,1gr. Columbian Cocaine !!!!!!!!MEGA SALE!*****MEGA SALE!!!!!!!!!!
19,19,16-02-2020 07:47:57,Tbilisi,da96c34455,ALFA PVP in City 1g,True,1,нет,Тбилиси,1 гр,0.0117,7614,2957,264,120.0,,,,,,,,,ALFA PVP in City 1g
20,20,16-02-2020 07:47:57,Tbilisi,8219f5e7b8,"LSD - 250 ug, 1piece",True,2,нет,Тбилиси,1 гр,0.0039,2538,986,88,40.0,,,,,,,,,"LSD - 250 ug, 1piece"
21,21,16-02-2020 07:47:57,Tbilisi,be97026d1d,MDMA from Europe!!! 1.0g BTC SALE 5%(ПОДЪЕЗД!!!),,1,нет,Тбилиси,1 гр,0.01,6663,2587,231,105.0,,True,,,,,,,MDMA from Europe!!! 1.0g BTC SALE 5%(POD'EZD!!!)
22,22,16-02-2020 07:47:57,Tbilisi,8ec76151d3,Metadon VHQ 1 24/7,True,2,нет,Тбилиси,1 гр,0.0441,31727,12320,1099,500.0,,,,,,,,,Metadon VHQ 1 24/7
23,23,16-02-2020 07:47:57,Tbilisi,1768a14bbd,NEW SALE Cocaine HQ 1 гр.,True,1,нет,Тбилиси,1 гр,0.0185,11993,4657,416,189.0,,,,,,,,,NEW SALE Cocaine HQ 1 gr.
24,24,16-02-2020 07:47:57,Tbilisi,c72111ac1a,NZT-52 mind storm limited 1г мука,True,10,нет,Тбилиси,1 гр,0.0106,7614,2957,264,120.0,,,,,,,,,NZT-52 mind storm limited 1g muka
25,25,16-02-2020 07:47:57,Tbilisi,0a8c230fa2,VHQ BEST Cocaine 1g.,True,1,нет,Тбилиси,1 гр,0.0185,12627,4903,438,199.0,,,,,,,,,VHQ BEST Cocaine 1g.
26,26,16-02-2020 07:47:57,Tbilisi,7ee4f68218,cocaine 1g HQ / кокаин 1 гр (скидка в биткоин),True,3,нет,Тбилиси,1 гр,0.013999999999999999,9518,3696,330,150.0,,,,,,,,,cocaine 1g HQ / kokain 1 gr (skidka v bitkoin)
27,27,16-02-2020 07:47:57,Tbilisi,d04eeb6525,Кокаин HQ 1г.,True,2,нет,Тбилиси,1 гр,0.0182,11993,4657,416,189.0,,,,,,,,,Kokain HQ 1g.
28,28,16-02-2020 07:47:57,Tbilisi,b2c155ffa7,Кокаин КОЛУМБИА 1g,,4,нет,Тбилиси,1 гр,0.0174,11358,4411,394,179.0,,,True,,,,,,Kokain KOLUMBIA 1g
29,29,16-02-2020 07:47:57,Tbilisi,61df6a1c90,Метадон 1гр,True,5,нет,Тбилиси,1 гр,0.0419,28554,11088,989,450.0,,,,,,,,,Metadon 1gr
30,30,16-02-2020 07:47:57,Tbilisi,e8a987a33c,"Метадон, 1gr",True,5,нет,Тбилиси,1 гр,0.0388,25381,9856,879,400.0,,,,,,,,,"Metadon, 1gr"
31,31,16-02-2020 07:48:31,Tbilisi,dd631c4acf,✨ 1g. MDMA ✨,True,2,нет,Тбилиси,1 гр,0.0107,6916,2686,240,109.0,,,,,,,,,✨ 1g. MDMA ✨
32,32,16-02-2020 07:48:31,Tbilisi,2dbb5960b9,Methadone HQ in city 1.3g,True,1,нет,Тбилиси,1.3 гр,0.0534,34899,13552,1209,550.0,,,,,,,,,Methadone HQ in city 1.3g
33,33,16-02-2020 07:48:31,Tbilisi,366326d4d6,2 Ecstasy >TEKASHI 69< !!! L I M I T E D !!!,True,8,нет,Тбилиси,2 гр,0.0077,5013,1947,174,79.0,,,,,,,,,2 Ecstasy >TEKASHI 69< !!! L I M I T E D !!!
34,34,16-02-2020 07:48:31,Tbilisi,64284550d9,2G -- AK-47 -> Sativa,,7,нет,Тбилиси,2 гр,0.0076,5076,1971,176,80.0,True,,,,,,,,2G -- AK-47 -> Sativa
35,35,16-02-2020 07:48:31,Tbilisi,366326d4d6,2LSD ---- LSD ALBERT HOFFMAN 200ug,True,8,нет,Тбилиси,2 гр,0.0077,5013,1947,174,79.0,,,,,,,,,2LSD ---- LSD ALBERT HOFFMAN 200ug
36,36,16-02-2020 07:48:31,Tbilisi,7c395c455d,2gr bubble hash thc 25% гашиш вишего качество HQ,True,1,нет,Тбилиси,2 гр,0.016,10470,4066,363,165.0,,,,,,,,,2gr bubble hash thc 25% gashish vishego kachestvo HQ
37,37,16-02-2020 07:48:31,Tbilisi,366326d4d6,2gr. Columbian Cocaine !!!!!!!!MEGA SALE!*****MEGA SALE!!!!!!!!!!,True,5,нет,Тбилиси,2 гр,0.0353,22843,8870,792,360.0,,,,,,,,,2gr. Columbian Cocaine !!!!!!!!MEGA SALE!*****MEGA SALE!!!!!!!!!!
38,38,16-02-2020 07:48:31,Tbilisi,be97026d1d,Columbia Cocaine VHQ 2.0g BTC SALE 5%,True,1,нет,Тбилиси,2 гр,0.0338,22526,8747,781,355.0,,,,,,,,,Columbia Cocaine VHQ 2.0g BTC SALE 5%
39,39,16-02-2020 07:48:31,Tbilisi,3c4662c591,KALI MIST 2G,,8,нет,Тбилиси,2 гр,0.0097,6345,2464,220,100.0,True,,,,,,,,KALI MIST 2G
