,time_stamp,region,sell_code,sell_name,description,Тбилиси,готовых,предзаказ,город,вес,BTC,ք,₴,Br,$,Saburtalo,Old Tbilisi (Старый город),Nadzaladevi,Didube,€,Авлобари,Батуми,Центр,Кутаиси,desc_en
0,08-04-2020 06:31:26,Tbilisi,A3I9,Joookerrr,MDMA 0.4 грам.,True,3,нет,Тбилиси,0.4 гр,0.0079,4905,1771,166,65,,,,,,,,,,MDMA 0.4 gram.
1,08-04-2020 06:31:26,Tbilisi,V4T,COCAcoLA,MDMA 0.5gr огромные камни! НУЖЕН КУРЬЕР,True,7,нет,Тбилиси,0.5 гр,0.0101,5659,2044,191,75,,,,,,,,,,MDMA 0.5gr ogromnye kamni! NUZhEN KUR'ER
2,08-04-2020 06:31:26,Tbilisi,V4T,COCAcoLA,MEPHEDRONE 0.5 gr,True,2,нет,Тбилиси,0.5 гр,0.0074,4150,1499,140,55,,,,,,,,,,MEPHEDRONE 0.5 gr
3,08-04-2020 06:31:26,Tbilisi,91Z98,Avocado,Pure COCAINE VHQ 0.5g,True,4,нет,Тбилиси,0.5 гр,0.0155,9055,3270,306,120,,,,,,,,,,Pure COCAINE VHQ 0.5g
4,08-04-2020 06:31:26,Tbilisi,A3I9,Joookerrr,"MDMA чистоган!!! ""Цуунаммииии удовольсвия""!!!! 0.6 грамм",True,1,нет,Тбилиси,0.6 гр,0.011,6791,2453,230,90,,,,,,,,,,"MDMA chistogan!!! ""Tsuunammiiii udovol'svija""!!!! 0.6 gramm"
5,08-04-2020 06:31:26,Tbilisi,JVZTQ,partyshop,1 Amnesia Haze марихуана шишки тгк 25%,True,6,нет,Тбилиси,1 гр,0.0059,3320,1199,112,44,,,,,,,,,,1 Amnesia Haze marihuana shishki tgk 25%
6,08-04-2020 06:31:26,Tbilisi,18FB,Mr.Green Tbilis,1 G Hybrid Marijuana Buds За BТС 10% СКИДКА,True,14,нет,Тбилиси,1 гр,0.0073,4527,1635,153,60,,,,,,,,,,1 G Hybrid Marijuana Buds Za BTS 10% SKIDKA
7,08-04-2020 06:31:26,Tbilisi,SF03,CRAZYFROG,1 gr Шишки “OG KUSH VHQ”,True,2,нет,Тбилиси,1 гр,0.0052,2943,1063,100,39,,,,,,,,,,1 gr Shishki “OG KUSH VHQ”
8,08-04-2020 06:31:26,Tbilisi,V4T,COCAcoLA,HEROINE-999 1 гр из авганистана! скидка при покупке BTC,,5,нет,Тбилиси,1 гр,0.0807,45273,16350,1531,600,True,,,,,,,,,HEROINE-999 1 gr iz avganistana! skidka pri pokupke BTC
9,08-04-2020 06:31:26,Tbilisi,Z5UFK,Vein,MDMA Champagne - DutchMasters 1g,True,1,нет,Тбилиси,1 гр,0.0148,8300,2998,281,110,,,,,,,,,,MDMA Champagne - DutchMasters 1g
10,08-04-2020 06:31:26,Tbilisi,V4T,COCAcoLA,METHADONE 1gr! SALE SALE SALE! THE BEST QUALITY VHQ!,,3,нет,Тбилиси,1 гр,0.0941,52819,19075,1786,700,True,,,,,,,,,METHADONE 1gr! SALE SALE SALE! THE BEST QUALITY VHQ!
11,08-04-2020 06:31:26,Tbilisi,91Z98,Avocado,VHQ BEST Cocaine 1g.,True,1,нет,Тбилиси,1 гр,0.0265,15468,5586,523,205,,,,,,,,,,VHQ BEST Cocaine 1g.
12,08-04-2020 06:31:26,Tbilisi,1IZXK,BadboysTbl,Метадон 1гр,True,1,нет,Тбилиси,1 гр,0.11,67910,24525,2297,900,,,,,,,,,,Metadon 1gr
13,08-04-2020 06:31:26,Tbilisi,6UG,Good Enuff,"Мощнейшие марки 25I nbome 1 шт. Готовые клады в Грузии, от производителя!",True,10,нет,Тбилиси,1 гр,0.0024,1509,545,51,20,,,,,,,,,,"Moschnejshie marki 25I nbome 1 sht. Gotovye klady v Gruzii, ot proizvoditelja!"
14,08-04-2020 06:31:26,Tbilisi,LGRP8,Walker12,19% ТГК Шишки Northern Lights 1.1г Скидка 5% через БИТКОИН,,4,нет,Тбилиси,1.1 гр,0.0065,3773,1363,128,50,,True,,,,,,,,19% TGK Shishki Northern Lights 1.1g Skidka 5% cherez BITKOIN
15,08-04-2020 06:31:26,Tbilisi,JVZTQ,partyshop,2 Amnesia Haze марихуана шишки тгк 25%,True,1,нет,Тбилиси,2 гр,0.0101,5659,2044,191,75,,,,,,,,,,2 Amnesia Haze marihuana shishki tgk 25%
16,08-04-2020 06:31:26,Tbilisi,8B31,GEOWEEDSHOP,2gr Indica dominant Buds,True,2,нет,Тбилиси,2 гр,0.0063,3546,1281,120,47,,,,,,,,,,2gr Indica dominant Buds
17,08-04-2020 06:31:26,Tbilisi,NVOG,ProperMgzn,2x Extasy Duracell 223mg MDMA.,True,7,нет,Тбилиси,2 гр,0.0095,5282,1908,179,70,,,,,,,,,,2x Extasy Duracell 223mg MDMA.
18,08-04-2020 06:31:26,Tbilisi,X4ZM,ZYX,New ! Big Buds ! 2G,True,2,нет,Тбилиси,2 гр,0.0078,4829,1744,163,64,,,,,,,,,,New ! Big Buds ! 2G
