,time_stamp,region,sell_code,sell_name,description,Тбилиси,готовых,предзаказ,город,вес,BTC,ք,₴,Br,$,Saburtalo,Gldani,Vazisubani,Дигоми,Old Tbilisi (Старый город),Авлобари,€,Didube,Vake,Varketili,Батуми,Центр,desc_en
0,12-08-2020 13:02:59,Tbilisi,7U9YP,ChitosPizz,Очень мощный Сирец из Ирана 0.3гр,True,32,нет,Тбилиси,0.3 гр,0.0065,5852,2224,197,80,,,,,,,,,,,,,Ochen' moschnyj Sirets iz Irana 0.3gr
1,12-08-2020 13:02:59,Tbilisi,7LHWP,GEOBUDS,0.5 gr HYBRID buds,True,3,нет,Тбилиси,0.5 гр,0.0028,2414,917,81,33,,,,,,,,,,,,,0.5 gr HYBRID buds
2,12-08-2020 13:02:59,Tbilisi,7R3WM,RastaShop,0.5 gr. ️🍀 Jamaica Feminized 🇯🇲🇯🇲100% Natural/Hybrid,,12,нет,Тбилиси,0.5 гр,0.0027,2341,890,79,32,True,,,,,,,,,,,,0.5 gr. ️🍀 Jamaica Feminized 🇯🇲🇯🇲100% Natural/Hybrid
3,12-08-2020 13:02:59,Tbilisi,QUZIV,Hollyweed,0.5 г.Super Skunk top class buds! (подезд),,2,нет,Тбилиси,0.5 гр,0.0025,2121,806,71,29,,True,,,,,,,,,,,0.5 g.Super Skunk top class buds! (podezd)
4,12-08-2020 13:02:59,Tbilisi,ABOAB,ProGrow,0.5-G ---> Hybrid BEST (BTC - Sale),True,10,нет,Тбилиси,0.5 гр,0.002,1683,639,57,23,,,,,,,,,,,,,0.5-G ---> Hybrid BEST (BTC - Sale)
5,12-08-2020 13:02:59,Tbilisi,9Y6T,WeedShop,0.5Gramm 😬 AK-49 NEW!!!,True,1,нет,Тбилиси,0.5 гр,0.0024,2048,778,69,28,,,,,,,,,,,,,0.5Gramm 😬 AK-49 NEW!!!
6,12-08-2020 13:02:59,Tbilisi,X4ZM,ZYX,NEW ! Afghan HQ buds ! NEW ! 0.5G,True,1,нет,Тбилиси,0.5 гр,0.0026,2195,834,74,30,,,,,,,,,,,,,NEW ! Afghan HQ buds ! NEW ! 0.5G
7,12-08-2020 13:02:59,Tbilisi,9CK,Hyperboy,VHQ Hybrid MJ Buds 0.5G,True,8,нет,Тбилиси,0.5 гр,0.0021,1829,695,61,25,,,,,,,,,,,,,VHQ Hybrid MJ Buds 0.5G
8,12-08-2020 13:02:59,Tbilisi,18FB,Mr.Green Tbilis,1 G Hybrid Marijuana Buds,True,11,нет,Тбилиси,1 гр,0.0047,4023,1529,135,55,,,,,,,,,,,,,1 G Hybrid Marijuana Buds
9,12-08-2020 13:02:59,Tbilisi,BB6E,WEEDSH0P,"1 gr , california ,GORILLA GLUE марихуана BUDS btc sale 1%",True,10,нет,Тбилиси,1 гр,0.0051,4389,1668,147,60,,,,,,,,,,,,,"1 gr , california ,GORILLA GLUE marihuana BUDS btc sale 1%"
10,12-08-2020 13:02:59,Tbilisi,03F3,geoshop,1 gr Amnesia Haze шишки импорт с европы тгк 28%,True,4,нет,Тбилиси,1 гр,0.0051,4389,1668,147,60,,,,,,,,,,,,,1 gr Amnesia Haze shishki import s evropy tgk 28%
11,12-08-2020 13:02:59,Tbilisi,7R3WM,RastaShop,1 gr. ️🍀 Jamaica Feminized 🇯🇲🇯🇲100% Natural/Hybrid,,6,нет,Тбилиси,1 гр,0.0046,3950,1501,133,54,True,,,,,,,,,,,,1 gr. ️🍀 Jamaica Feminized 🇯🇲🇯🇲100% Natural/Hybrid
12,12-08-2020 13:02:59,Tbilisi,03F3,geoshop,1 marijuana BUDS northen lights 24% THC ШИШКИ!!!,True,5,нет,Тбилиси,1 гр,0.0045,3877,1473,130,53,,,,,,,,,,,,,1 marijuana BUDS northen lights 24% THC ShIShKI!!!
13,12-08-2020 13:02:59,Tbilisi,3Y9,HIGHTHC,1 г SOUR DIESEL марихуана шишки топ качество тгк 28%,True,5,нет,Тбилиси,1 гр,0.0047,4023,1529,135,55,,,,,,,,,,,,,1 g SOUR DIESEL marihuana shishki top kachestvo tgk 28%
14,12-08-2020 13:02:59,Tbilisi,3Y9,HIGHTHC,1 г Skunk #1 марихуана шишки тгк 29% VHQ,True,5,нет,Тбилиси,1 гр,0.0047,4023,1529,135,55,,,,,,,,,,,,,1 g Skunk #1 marihuana shishki tgk 29% VHQ
15,12-08-2020 13:02:59,Tbilisi,QUZIV,Hollyweed,1 г.Super Skunk top class buds! (подезд),,3,нет,Тбилиси,1 гр,0.0047,4023,1529,135,55,,True,,,,,,,,,,,1 g.Super Skunk top class buds! (podezd)
16,12-08-2020 13:02:59,Tbilisi,SF03,CRAZYFROG,"1GR GORILLA GLUE AUTO Шишки ,Оплата BITCOIN -10% Скидка",True,2,нет,Тбилиси,1 гр,0.0047,4023,1529,135,55,,,,,,,,,,,,,"1GR GORILLA GLUE AUTO Shishki ,Oplata BITCOIN -10% Skidka"
17,12-08-2020 13:02:59,Tbilisi,7LHWP,GEOBUDS,1gr HYBRID o.g,True,24,нет,Тбилиси,1 гр,0.0042,3584,1362,120,49,,,,,,,,,,,,,1gr HYBRID o.g
18,12-08-2020 13:02:59,Tbilisi,8B31,GEOWEEDSHOP,1gr ☘NEW☘ Gorilla Cookies☘ (КЛАДИ НА МАГНИТАХ),True,12,нет,Тбилиси,1 гр,0.0049,4170,1585,140,57,,,,,,,,,,,,,1gr ☘NEW☘ Gorilla Cookies☘ (KLADI NA MAGNITAH)
19,12-08-2020 13:02:59,Tbilisi,H9FHF,OldStar,Auto Amnesia Haze 1 gr,True,13,нет,Тбилиси,1 гр,0.0034,3000,1380,101,,,,,,,,,,,,,,Auto Amnesia Haze 1 gr
20,12-08-2020 13:02:59,Tbilisi,X4ZM,ZYX,NEW ! Super Critical ! NEW ! HQ BUDS ! 1G,True,4,нет,Тбилиси,1 гр,0.0046,3950,1501,133,54,,,,,,,,,,,,,NEW ! Super Critical ! NEW ! HQ BUDS ! 1G
21,12-08-2020 13:02:59,Tbilisi,X4ZM,ZYX,NEW * Green Gelato * NEW * BUDS ! 1G VHQ,True,3,нет,Тбилиси,1 гр,0.0049,4243,1612,143,58,,,,,,,,,,,,,NEW * Green Gelato * NEW * BUDS ! 1G VHQ
22,12-08-2020 13:02:59,Tbilisi,X4ZM,ZYX,NEW * Royal Moby * NEW ! HQ BUDS 1G,True,5,нет,Тбилиси,1 гр,0.0047,4023,1529,135,55,,,,,,,,,,,,,NEW * Royal Moby * NEW ! HQ BUDS 1G
23,12-08-2020 13:02:59,Tbilisi,5XD8,TYsonWeed,TYson Budds 1G Скидка 5%,True,10,нет,Тбилиси,1 гр,0.0036,3219,1223,108,44,,,,,,,,,,,,,TYson Budds 1G Skidka 5%
24,12-08-2020 13:02:59,Tbilisi,9CK,Hyperboy,VHQ Hybrid MJ Buds 1G,True,1,нет,Тбилиси,1 гр,0.0043,3658,1390,123,50,,,,,,,,,,,,,VHQ Hybrid MJ Buds 1G
25,12-08-2020 13:02:59,Tbilisi,I7IU,MrPickless,АКЦИЯ-1g hindu kish best buds BTC 11% sale,True,1,нет,Тбилиси,1 гр,0.003,2560,973,86,35,,,,,,,,,,,,,AKTsIJa-1g hindu kish best buds BTC 11% sale
