,time_stamp,region,sell_code,sell_name,description,Тбилиси,готовых,предзаказ,город,вес,BTC,ք,₴,Br,$,Saburtalo,Gldani,Didube,Varketili,Дигоми,Vake,Old Tbilisi (Старый город),Авлобари,€,Центр,Батуми,desc_en
0,06-08-2020 01:14:02,Tbilisi,OX85,amnesia420,"0,5G 👨🏻WHITE RUSSIAN (hybrid < indica)",True,2,нет,Тбилиси,0.5 гр,0.0025,2125,809,71,29,,,,,,,,,,,,"0,5G 👨🏻WHITE RUSSIAN (hybrid < indica)"
1,06-08-2020 01:14:02,Tbilisi,OX85,amnesia420,"0,5G 🔵🔵 BLUEBERRY (hybrid < indica)",True,1,нет,Тбилиси,0.5 гр,0.0025,2125,809,71,29,,,,,,,,,,,,"0,5G 🔵🔵 BLUEBERRY (hybrid < indica)"
2,06-08-2020 01:14:02,Tbilisi,9Y6T,WeedShop,0.5 Gram Skunk HQ,True,5,нет,Тбилиси,0.5 гр,0.0026,2272,865,76,31,,,,,,,,,,,,0.5 Gram Skunk HQ
3,06-08-2020 01:14:02,Tbilisi,9Y6T,WeedShop,0.5 Gramm Ak-47 Best Seller 2020 Guess who's Back?,True,5,нет,Тбилиси,0.5 гр,0.0027,2345,893,78,32,,,,,,,,,,,,0.5 Gramm Ak-47 Best Seller 2020 Guess who's Back?
4,06-08-2020 01:14:02,Tbilisi,7LHWP,GEOBUDS,0.5 gr HYBRID buds,True,7,нет,Тбилиси,0.5 гр,0.0028,2418,921,81,33,,,,,,,,,,,,0.5 gr HYBRID buds
5,06-08-2020 01:14:02,Tbilisi,7R3WM,RastaShop,0.5 gr. Amnesia Haze 100% Natural/ IMPORT / Sativa,,1,нет,Тбилиси,0.5 гр,0.0027,2345,893,78,32,True,,,,,,,,,,,0.5 gr. Amnesia Haze 100% Natural/ IMPORT / Sativa
6,06-08-2020 01:14:02,Tbilisi,7R3WM,RastaShop,0.5 gr. Magic Kush IMPORT (INDICA),,8,нет,Тбилиси,0.5 гр,0.0027,2345,893,78,32,True,,,,,,,,,,,0.5 gr. Magic Kush IMPORT (INDICA)
7,06-08-2020 01:14:02,Tbilisi,QUZIV,Hollyweed,0.5 г.Super Skunk top class buds! (подезд),,3,нет,Тбилиси,0.5 гр,0.0027,2272,865,76,31,,True,,,,,,,,,,0.5 g.Super Skunk top class buds! (podezd)
8,06-08-2020 01:14:02,Tbilisi,ABOAB,ProGrow,0.5-G ---> Hybrid BEST (BTC - Sale),,19,нет,Тбилиси,0.5 гр,0.0021,1832,698,61,25,True,,,,,,,,,,,0.5-G ---> Hybrid BEST (BTC - Sale)
9,06-08-2020 01:14:02,Tbilisi,8B31,GEOWEEDSHOP,0.5gr ☘NEW☘ Gorilla Cookies☘ (КЛАДИ НА МАГНИТАХ),True,3,нет,Тбилиси,0.5 гр,0.0029,2492,949,83,34,,,,,,,,,,,,0.5gr ☘NEW☘ Gorilla Cookies☘ (KLADI NA MAGNITAH)
