,time_stamp,region,sell_code,sell_name,description,Тбилиси,готовых,предзаказ,город,вес,BTC,ք,₴,Br,$,Didube,Gldani,€,Nadzaladevi,Varketili,Old Tbilisi (Старый город),Дигоми,Saburtalo,Авлобари,Батуми,Центр,Кутаиси,desc_en
0,14-04-2020 07:11:18,Tbilisi,A3I9,Joookerrr,"MDMA чистоган!!! ""Цуунаммииии удовольсвия""!!!! 0.25 грамм",True,1,нет,Тбилиси,0.25 гр,0.0049,2941,1090,98,40,,,,,,,,,,,,,"MDMA chistogan!!! ""Tsuunammiiii udovol'svija""!!!! 0.25 gramm"
1,14-04-2020 07:11:18,Tbilisi,Z5UFK,Vein,Cocaine Fishscale! Limited Quantity 0.5 g. акция -15% при оплате бтк!!!,True,3,нет,Тбилиси,0.5 гр,0.0215,13676,5069,458,186,,,,,,,,,,,,,Cocaine Fishscale! Limited Quantity 0.5 g. aktsija -15% pri oplate btk!!!
2,14-04-2020 07:11:18,Tbilisi,A3I9,Joookerrr,MDMA 0.5 грам.,True,3,нет,Тбилиси,0.5 гр,0.0092,5514,2044,185,75,,,,,,,,,,,,,MDMA 0.5 gram.
3,14-04-2020 07:11:18,Tbilisi,JVZTQ,partyshop,1 Amnesia Haze марихуана шишки тгк 25%,True,1,нет,Тбилиси,1 гр,0.0059,3235,1199,108,44,,,,,,,,,,,,,1 Amnesia Haze marihuana shishki tgk 25%
4,14-04-2020 07:11:18,Tbilisi,18FB,Mr.Green Tbilis,1 G Hybrid Marijuana Buds За BТС 10% СКИДКА,True,9,нет,Тбилиси,1 гр,0.0067,4044,1499,135,55,,,,,,,,,,,,,1 G Hybrid Marijuana Buds Za BTS 10% SKIDKA
5,14-04-2020 07:11:18,Tbilisi,BB6E,WEEDSH0P,"1 gr california import Durban Poison марихуана BUDS 24% thc , sativa , если платите с бтк скидка",True,1,нет,Тбилиси,1 гр,0.0074,4044,1499,135,55,,,,,,,,,,,,,"1 gr california import Durban Poison marihuana BUDS 24% thc , sativa , esli platite s btk skidka"
6,14-04-2020 07:11:18,Tbilisi,SF03,CRAZYFROG,1 gr Шишки “OG KUSH VHQ”,,11,нет,Тбилиси,1 гр,0.0052,2867,1063,96,39,True,,,,,,,,,,,,1 gr Shishki “OG KUSH VHQ”
7,14-04-2020 07:11:18,Tbilisi,LYHBG,Playboy,1G --... BoLiVian Coke ...-- 1G,True,20,нет,Тбилиси,1 гр,0.0298,16102,5968,539,219,,,,,,,,,,,,,1G --... BoLiVian Coke ...-- 1G
8,14-04-2020 07:11:18,Tbilisi,BB6E,WEEDSH0P,1гр new!! OG kush марихуана BUDS 23% thc если платите с бтк скидка 10% 49реално !,True,4,нет,Тбилиси,1 гр,0.0074,4044,1499,135,55,,,,,,,,,,,,,1gr new!! OG kush marihuana BUDS 23% thc esli platite s btk skidka 10% 49realno !
9,14-04-2020 07:11:18,Tbilisi,SDQN,YummyShop,Cocaine Pure VHQ 1g,True,2,нет,Тбилиси,1 гр,0.025,14264,5287,478,194,,,,,,,,,,,,,Cocaine Pure VHQ 1g
