,time_stamp,region,sell_code,sell_name,description,Тбилиси,готовых,предзаказ,город,вес,BTC,ք,₴,Br,$,Gldani,Saburtalo,Zahesi,Дигоми,Varketili,€,Old Tbilisi (Старый город),Авлобари,Батуми,Центр,desc_en
0,25-06-2020 01:42:11,Tbilisi,PTO3,MeDuZa777,"Black Gerain, Sirec VHQ 0.4g",True,5,нет,Тбилиси,0.4 гр,0.0143,9637,3753,332,140,,,,,,,,,,,"Black Gerain, Sirec VHQ 0.4g"
1,25-06-2020 01:42:11,Tbilisi,LYHBG,Playboy,0.5G --... BoLiVian Coke ...-- 0.5G,True,16,нет,Тбилиси,0.5 гр,0.0164,10945,4263,377,159,,,,,,,,,,,0.5G --... BoLiVian Coke ...-- 0.5G
2,25-06-2020 01:42:11,Tbilisi,9Y6T,WeedShop,Ayahuasca Purple 100% Indica 0.5г,True,7,нет,Тбилиси,0.5 гр,0.0032,2134,831,73,31,,,,,,,,,,,Ayahuasca Purple 100% Indica 0.5g
3,25-06-2020 01:42:11,Tbilisi,PTO3,MeDuZa777,"Black Geroin, Sirec 0.5g",True,5,нет,Тбилиси,0.5 гр,0.0179,12047,4692,415,175,,,,,,,,,,,"Black Geroin, Sirec 0.5g"
4,25-06-2020 01:42:11,Tbilisi,6P9R,RickNMorty,NEW!!! Columbian Winter Meds C O K E 90% Pure VHQ 0.5G On Iron Magnet,True,6,нет,Тбилиси,0.5 гр,0.0153,10326,4022,355,150,True,,,,,,,,,,NEW!!! Columbian Winter Meds C O K E 90% Pure VHQ 0.5G On Iron Magnet
5,25-06-2020 01:42:11,Tbilisi,6P9R,RickNMorty,RickNMorty's Hybrid's Buds ONLY high THc 0.5,True,9,нет,Тбилиси,0.5 гр,0.0031,2065,804,71,30,True,,,,,,,,,,RickNMorty's Hybrid's Buds ONLY high THc 0.5
6,25-06-2020 01:42:11,Tbilisi,9Y6T,WeedShop,Skunk 0.5г,True,2,нет,Тбилиси,0.5 гр,0.0032,2134,831,73,31,,,,,,,,,,,Skunk 0.5g
7,25-06-2020 01:42:11,Tbilisi,UZRVH,ZEBRAWEED,КЕТАМИН WHQ 0.5g,True,2,нет,Тбилиси,0.5 гр,0.0139,10326,4022,355,150,,,,,,,,,,,KETAMIN WHQ 0.5g
8,25-06-2020 01:42:11,Tbilisi,5LZ,ExtraShop,Кокаин HQ 0.5 g.,True,2,нет,Тбилиси,0.5 гр,0.0129,9568,3727,329,139,,,,,,,,,,,Kokain HQ 0.5 g.
9,25-06-2020 01:42:11,Tbilisi,JVZTQ,partyshop,1 Amnesia Haze марихуана шишки тгк 25%,,10,нет,Тбилиси,1 гр,0.0061,4130,1609,142,60,,True,,,,,,,,,1 Amnesia Haze marihuana shishki tgk 25%
