,time_stamp,region,sell_code,sell_name,description,Тбилиси,готовых,предзаказ,город,вес,BTC,₴,Br,ք,$,Saburtalo,Varketili,Gldani,Didube,Vake,€,Old Tbilisi (Старый город),Авлобари,Батуми,Центр,Кутаиси,desc_en
0,11-04-2020 05:38:28,Tbilisi,H9FHF,OldStar,0.5 a-pvp white,True,2,нет,Тбилиси,0.5 гр,0.0148,3681,269,8000,,,,,,,,,,,,,0.5 a-pvp white
1,11-04-2020 05:38:28,Tbilisi,Z5UFK,Vein,Cocaine Fishscale! Limited Quantity 0.5 g. акция -15% при оплате бтк!!!,True,3,нет,Тбилиси,0.5 гр,0.0217,5096,460,13718,186,,,,,,,,,,,,Cocaine Fishscale! Limited Quantity 0.5 g. aktsija -15% pri oplate btk!!!
2,11-04-2020 05:38:28,Tbilisi,SDQN,YummyShop,Cocaine Pure VHQ 0.5g,True,5,нет,Тбилиси,0.5 гр,0.0142,2987,270,8039,109,,,,,,,,,,,,Cocaine Pure VHQ 0.5g
3,11-04-2020 05:38:28,Tbilisi,91Z98,Avocado,Pure COCAINE VHQ 0.5g,True,5,нет,Тбилиси,0.5 гр,0.017,3562,322,9588,130,,,,,,,,,,,,Pure COCAINE VHQ 0.5g
4,11-04-2020 05:38:28,Tbilisi,U26MW,Skyhigh,SUPER HIGH QUALITY MANGO HAZE HYBRID BUDS PRESSED 0.5G ВЕС +15%,,3,нет,Тбилиси,0.5 гр,0.0041,822,74,2213,30,True,,,,,,,,,,,SUPER HIGH QUALITY MANGO HAZE HYBRID BUDS PRESSED 0.5G VES +15%
5,11-04-2020 05:38:28,Tbilisi,9VLN,AlienShop,☃️ 0.5g HQ COCAINE ☃️,True,2,нет,Тбилиси,0.5 гр,0.015,2987,270,8039,109,,,,,,,,,,,,☃️ 0.5g HQ COCAINE ☃️
6,11-04-2020 05:38:28,Tbilisi,SF03,CRAZYFROG,1 гр листя плус галовки марихуана,True,3,нет,Тбилиси,1 гр,0.0041,822,74,2213,30,,,,,,,,,,,,1 gr listja plus galovki marihuana
7,11-04-2020 05:38:28,Tbilisi,SDQN,YummyShop,Cocaine Pure VHQ 1g,True,4,нет,Тбилиси,1 гр,0.0253,5316,480,14308,194,,,,,,,,,,,,Cocaine Pure VHQ 1g
8,11-04-2020 05:38:28,Tbilisi,V4T,COCAcoLA,HEROINE-999 1 гр из авганистана! скидка при покупке BTC,,5,нет,Тбилиси,1 гр,0.0816,16440,1485,44251,600,True,,,,,,,,,,,HEROINE-999 1 gr iz avganistana! skidka pri pokupke BTC
9,11-04-2020 05:38:28,Tbilisi,BP40,WakeShop,Metadon VHQ 1 24/7,True,1,нет,Тбилиси,1 гр,0.1088,21920,1980,59001,800,,,,,,,,,,,,Metadon VHQ 1 24/7
10,11-04-2020 05:38:28,Tbilisi,91Z98,Avocado,VHQ BEST Cocaine 1g.,True,5,нет,Тбилиси,1 гр,0.0274,5754,520,15488,210,,,,,,,,,,,,VHQ BEST Cocaine 1g.
