,time_stamp,region,sell_code,sell_name,description,Тбилиси,готовых,предзаказ,город,вес,BTC,ք,₴,Br,$,Saburtalo,Old Tbilisi (Старый город),€,Didube,Авлобари,Батуми,Центр,Кутаиси,desc_en
0,09-03-2020 07:39:24,Tbilisi,BP40,WakeShop,Metadon VHQ 0.25 24/7,True,6,нет,Тбилиси,0.25 гр,0.0215,14179,5277,470,210,,,,,,,,,Metadon VHQ 0.25 24/7
1,09-03-2020 07:39:24,Tbilisi,BP40,WakeShop,Metadon VHQ 0.33,True,2,нет,Тбилиси,0.33 гр,0.0287,18905,7036,627,280,,,,,,,,,Metadon VHQ 0.33
2,09-03-2020 07:39:24,Tbilisi,XH0NP,XX-PABLO-XX,Метадон - (KRISTAL) - VHQ - 0.35 G,True,1,нет,Тбилиси,0.35 гр,0.0364,21606,8042,717,320,,,,,,,,,Metadon - (KRISTAL) - VHQ - 0.35 G
3,09-03-2020 07:39:24,Tbilisi,SDQN,YummyShop,Cocaine Pure VHQ 0.5g,True,2,нет,Тбилиси,0.5 гр,0.0107,6684,2488,222,99,,,,,,,,,Cocaine Pure VHQ 0.5g
4,09-03-2020 07:39:24,Tbilisi,91Z98,Avocado,Pure COCAINE VHQ 0.5g,True,1,нет,Тбилиси,0.5 гр,0.0118,7359,2739,244,109,,,,,,,,,Pure COCAINE VHQ 0.5g
5,09-03-2020 07:39:24,Tbilisi,ABOAB,ProGrow,1G -- ФОТО РАБОТАЕТ -> Sativa,,27,нет,Тбилиси,1 гр,0.0041,2498,930,83,37,True,,,,,,,,1G -- FOTO RABOTAET -> Sativa
6,09-03-2020 07:39:24,Tbilisi,Y7587,PVPStore,ALFA PVP 1g,True,3,нет,Тбилиси,1 гр,0.0158,9452,3518,314,140,,,,,,,,,ALFA PVP 1g
7,09-03-2020 07:39:24,Tbilisi,BP40,WakeShop,Apvp VHQ 1g 24/7,True,7,нет,Тбилиси,1 гр,0.0169,10128,3770,336,150,,,,,,,,,Apvp VHQ 1g 24/7
8,09-03-2020 07:39:24,Tbilisi,SDQN,YummyShop,Cocaine Pure VHQ 1g,True,6,нет,Тбилиси,1 гр,0.0204,12761,4750,423,189,,,,,,,,,Cocaine Pure VHQ 1g
9,09-03-2020 07:39:24,Tbilisi,72B,CHINATOWN,NZT-52 mind storm limited 1г мука,True,11,нет,Тбилиси,1 гр,0.0143,9452,3518,314,140,,,,,,,,,NZT-52 mind storm limited 1g muka
10,09-03-2020 07:39:24,Tbilisi,91Z98,Avocado,VHQ BEST Cocaine 1g.,True,6,нет,Тбилиси,1 гр,0.0215,13436,5001,446,199,,,,,,,,,VHQ BEST Cocaine 1g.
11,09-03-2020 07:39:24,Tbilisi,5LZ,ExtraShop,Кокаин HQ 1г.,True,4,нет,Тбилиси,1 гр,0.0211,12761,4750,423,189,,,,,,,,,Kokain HQ 1g.
12,09-03-2020 07:39:24,Tbilisi,5J3H,coketbs,Кокаин КОЛУМБИА 1g,,3,нет,Тбилиси,1 гр,0.0202,12086,4498,401,179,,True,,,,,,,Kokain KOLUMBIA 1g
13,09-03-2020 07:39:24,Tbilisi,1IZXK,BadboysTbl,Метадон 1гр,True,1,нет,Тбилиси,1 гр,0.0922,60766,22617,2016,900,,,,,,,,,Metadon 1gr
14,09-03-2020 07:39:24,Tbilisi,91Z98,Avocado,VHQ BEST Cocaine 2g.,True,3,нет,Тбилиси,2 гр,0.0399,26332,9801,873,390,,,,,,,,,VHQ BEST Cocaine 2g.
15,09-03-2020 07:39:24,Tbilisi,A3I9,Joookerrr,Божественный эифорик!!! Марки нбоооом!!! 2 штуки,True,15,нет,Тбилиси,2 гр,0.0036,2363,880,78,35,,,,,,,,,Bozhestvennyj eiforik!!! Marki nboooom!!! 2 shtuki
16,09-03-2020 07:39:24,Tbilisi,5LZ,ExtraShop,Кокаин HQ 2г.,True,5,нет,Тбилиси,2 гр,0.041,25589,9524,849,379,,,,,,,,,Kokain HQ 2g.
17,09-03-2020 07:39:24,Tbilisi,NVOG,ProperMgzn,3x Extasy Duracell 223mg MDMA,True,1,нет,Тбилиси,3 гр,0.0119,7089,2639,235,105,,,,,,,,,3x Extasy Duracell 223mg MDMA
18,09-03-2020 07:39:24,Tbilisi,C7LQ,Scandal,"5 Grm MDMA , Purity A +++",True,1,нет,Тбилиси,5 гр,0.0328,21606,8042,717,320,,,,,,,,,"5 Grm MDMA , Purity A +++"
19,09-03-2020 07:39:24,Tbilisi,0WE,Khachapuri,5 gr mdma (скидка в биткоин 5%),True,2,нет,Тбилиси,5 гр,0.0453,28441,10688,944,,,,375,,,,,,5 gr mdma (skidka v bitkoin 5%)
20,09-03-2020 07:39:24,Tbilisi,NVOG,ProperMgzn,5x Extasy Duracell 223mg MDMA.,True,6,нет,Тбилиси,5 гр,0.0199,11816,4398,392,175,,,,,,,,,5x Extasy Duracell 223mg MDMA.
21,09-03-2020 07:39:24,Tbilisi,5LZ,ExtraShop,5шт Ecstazy 280мг MDMA (Gray Duracell),True,9,нет,Тбилиси,5 гр,0.0167,10128,3770,336,150,,,,,,,,,5sht Ecstazy 280mg MDMA (Gray Duracell)
22,09-03-2020 07:39:24,Tbilisi,91Z98,Avocado,VHQ BEST Cocaine 5g.,True,1,нет,Тбилиси,5 гр,0.088,57998,21587,1924,859,,,,,,,,,VHQ BEST Cocaine 5g.
23,09-03-2020 07:39:24,Tbilisi,0WE,Khachapuri,🍃 5гр ГАШИШ 🍃,True,1,нет,Тбилиси,5 гр,0.0314,19580,7288,649,290,,,,,,,,,🍃 5gr GAShISh 🍃
24,09-03-2020 07:39:24,Tbilisi,A3I9,Joookerrr,Божественный эйфорик!!! Марки нбоооом!!! 8 штук +1 бонус ;),True,1,нет,Тбилиси,9 гр,0.0102,6752,2513,224,100,,,,,,,,,Bozhestvennyj ejforik!!! Marki nboooom!!! 8 shtuk +1 bonus ;)
