,time_stamp,region,sell_code,sell_name,description,Тбилиси,готовых,предзаказ,город,вес,BTC,ք,₴,Br,$,Saburtalo,Дигоми,€,Vake,Old Tbilisi (Старый город),Авлобари,Батуми,Центр,Кутаиси,desc_en
0,25-02-2020 01:27:44,Tbilisi,F8K,BestAcid,Метадон - 0.12 г Новая партия!,True,18,нет,Тбилиси,0.12 гр,0.01,7073,2696,243,110,,,,,,,,,,Metadon - 0.12 g Novaja partija!
1,25-02-2020 01:27:44,Tbilisi,1IZXK,BadboysTbl,Метадон 0.15гр,True,1,нет,Тбилиси,0.15 гр,0.0118,8359,3186,288,130,,,,,,,,,,Metadon 0.15gr
2,25-02-2020 01:27:44,Tbilisi,C36EL,TripGuru,Iranian Black Heroin Old WHQ Не сырец 0.25g,True,3,нет,Тбилиси,0.25 гр,0.01,6430,2451,221,100,,,,,,,,,,Iranian Black Heroin Old WHQ Ne syrets 0.25g
3,25-02-2020 01:27:44,Tbilisi,LYHBG,Playboy,"0,5 g MDMA - !!!NEW!!! - Purity 93%",True,1,нет,Тбилиси,0.5 гр,0.007,4437,1691,153,69,,,,,,,,,,"0,5 g MDMA - !!!NEW!!! - Purity 93%"
4,25-02-2020 01:27:44,Tbilisi,7R3WM,RastaShop,0.5 gr. LSD Fem (Hibrid>>INDICA) IMPORT (IRAN),,3,нет,Тбилиси,0.5 гр,0.0029,1865,711,64,29,True,True,,,,,,,,0.5 gr. LSD Fem (Hibrid>>INDICA) IMPORT (IRAN)
5,25-02-2020 01:27:44,Tbilisi,91Z98,Avocado,Pure COCAINE VHQ 0.5g,True,2,нет,Тбилиси,0.5 гр,0.0105,7009,2672,241,109,,,,,,,,,,Pure COCAINE VHQ 0.5g
6,25-02-2020 01:27:44,Tbilisi,UJP9,420Inc,THC Snow Buds Only 0.5 G (THC 23+%),True,11,нет,Тбилиси,0.5 гр,0.003,1929,735,66,30,,,,,,,,,,THC Snow Buds Only 0.5 G (THC 23+%)
7,25-02-2020 01:27:44,Tbilisi,MJVS,Nordic,SUBUTEX B8 (ORIGINAL) 0.8 гр. (1 штука),True,6,нет,Тбилиси,0.8 гр,0.015,9645,3677,332,150,,,,,,,,,,SUBUTEX B8 (ORIGINAL) 0.8 gr. (1 shtuka)
8,25-02-2020 01:27:44,Tbilisi,JVZTQ,partyshop,1 MDMA VHQ Кристаллы высокого качества импорт США purity 95%,True,5,нет,Тбилиси,1 гр,0.0099,6366,2426,219,99,,,,,,,,,,1 MDMA VHQ Kristally vysokogo kachestva import SShA purity 95%
9,25-02-2020 01:27:44,Tbilisi,JVZTQ,partyshop,1 ecstasy red maseratti VHQ екстази импорт с США,True,1,нет,Тбилиси,1 гр,0.005,3215,1226,111,50,,,,,,,,,,1 ecstasy red maseratti VHQ ekstazi import s SShA
10,25-02-2020 01:27:44,Tbilisi,03F3,geoshop,1 gr mdma Кристаллы очен силни импорт с европи,True,1,нет,Тбилиси,1 гр,0.012,7716,2941,265,120,,,,,,,,,,1 gr mdma Kristally ochen silni import s evropi
11,25-02-2020 01:27:44,Tbilisi,JVZTQ,partyshop,1 gr гашиш VHQ gorilla glue hash тгк 28 %,True,4,нет,Тбилиси,1 гр,0.009,5787,2206,199,90,,,,,,,,,,1 gr gashish VHQ gorilla glue hash tgk 28 %
12,25-02-2020 01:27:44,Tbilisi,BB6E,WEEDSH0P,1 gr сжатая марихуана EUPHORIA шишки low thc.,True,4,нет,Тбилиси,1 гр,0.0035,2251,858,77,35,,,,,,,,,,1 gr szhataja marihuana EUPHORIA shishki low thc.
13,25-02-2020 01:27:44,Tbilisi,SF03,CRAZYFROG,"1 mdma very strong best quality , import califronia , лучши мдма на саите",True,8,нет,Тбилиси,1 гр,0.01,6430,2451,221,100,,,,,,,,,,"1 mdma very strong best quality , import califronia , luchshi mdma na saite"
14,25-02-2020 01:27:44,Tbilisi,SF03,CRAZYFROG,1 гр Afghan Mazar-i-Sharif Hash топ товар !!! . Оплата BITCOIN -10% Скидка,True,2,нет,Тбилиси,1 гр,0.0085,5466,2083,188,85,,,,,,,,,,1 gr Afghan Mazar-i-Sharif Hash top tovar !!! . Oplata BITCOIN -10% Skidka
15,25-02-2020 01:27:44,Tbilisi,ABOAB,ProGrow,1G -- AK-47 -> Sativa,True,7,нет,Тбилиси,1 гр,0.0036,2379,907,82,37,,,,,,,,,,1G -- AK-47 -> Sativa
16,25-02-2020 01:27:44,Tbilisi,SF03,CRAZYFROG,"1gr ROYAL AFGHANI HASH FINEST QUALITY гашиш топ качество ,Оплата BITCOIN -10% Скидка",True,3,нет,Тбилиси,1 гр,0.0092,5901,2255,203,,,,85,,,,,,,"1gr ROYAL AFGHANI HASH FINEST QUALITY gashish top kachestvo ,Oplata BITCOIN -10% Skidka"
