,time_stamp,region,sell_code,sell_name,description,Тбилиси,готовых,предзаказ,город,вес,BTC,ք,₴,Br,$,Saburtalo,Gldani,Дигоми,Old Tbilisi (Старый город),Авлобари,€,Didube,Varketili,Vake,Батуми,Центр,desc_en
0,04-08-2020 16:19:34,Tbilisi,9Y6T,WeedShop,0.5 Gram Skunk HQ,True,8,нет,Тбилиси,0.5 гр,0.0027,2275,866,76,31,,,,,,,,,,,,0.5 Gram Skunk HQ
1,04-08-2020 16:19:34,Tbilisi,9Y6T,WeedShop,0.5 Gramm Ak-47 Best Seller 2020 Guess who's Back?,True,3,нет,Тбилиси,0.5 гр,0.0028,2348,894,78,32,,,,,,,,,,,,0.5 Gramm Ak-47 Best Seller 2020 Guess who's Back?
2,04-08-2020 16:19:34,Tbilisi,9Y6T,WeedShop,0.5 Grm Northen Light,True,8,нет,Тбилиси,0.5 гр,0.0027,2275,866,76,31,,,,,,,,,,,,0.5 Grm Northen Light
3,04-08-2020 16:19:34,Tbilisi,7LHWP,GEOBUDS,0.5 gr HYBRID buds,True,8,нет,Тбилиси,0.5 гр,0.0029,2422,922,81,33,,,,,,,,,,,,0.5 gr HYBRID buds
4,04-08-2020 16:19:34,Tbilisi,7R3WM,RastaShop,0.5 gr. Afghan kush 100% Natural (Indika),,7,нет,Тбилиси,0.5 гр,0.0028,2348,894,78,32,True,,,,,,,,,,,0.5 gr. Afghan kush 100% Natural (Indika)
5,04-08-2020 16:19:34,Tbilisi,7R3WM,RastaShop,0.5 gr. Amnesia Haze 100% Natural/ IMPORT / Sativa,,6,нет,Тбилиси,0.5 гр,0.0028,2348,894,78,32,True,,,,,,,,,,,0.5 gr. Amnesia Haze 100% Natural/ IMPORT / Sativa
6,04-08-2020 16:19:34,Tbilisi,ABOAB,ProGrow,0.5-G ---> Hybrid BEST (BTC - Sale),,23,нет,Тбилиси,0.5 гр,0.0025,2055,783,69,28,True,,,,,,,,,,,0.5-G ---> Hybrid BEST (BTC - Sale)
7,04-08-2020 16:19:34,Tbilisi,9R7SU,ClownBaroN,CLOWNBARON ШИШКИ* VHQ*♤THC 28%♤( 0.5Г Ограниченное количество),,8,нет,Тбилиси,0.5 гр,0.0027,2275,866,76,31,True,,,,,,,,,,,CLOWNBARON ShIShKI* VHQ*♤THC 28%♤( 0.5G Ogranichennoe kolichestvo)
8,04-08-2020 16:19:34,Tbilisi,X4ZM,ZYX,NEW ! Afghan HQ buds ! NEW ! 0.5G,True,3,нет,Тбилиси,0.5 гр,0.003,2495,950,83,34,,,,,,,,,,,,NEW ! Afghan HQ buds ! NEW ! 0.5G
9,04-08-2020 16:19:34,Tbilisi,9CK,Hyperboy,VHQ Hybrid MJ Buds 0.5G,True,12,нет,Тбилиси,0.5 гр,0.0026,2201,839,73,30,,,,,,,,,,,,VHQ Hybrid MJ Buds 0.5G
10,04-08-2020 16:19:34,Tbilisi,9R7SU,ClownBaroN,!!!NEW!!! AmneziaXSkittels 1G IMPORT,,3,нет,Тбилиси,1 гр,0.0049,4109,1565,137,56,True,,,,,,,,,,,!!!NEW!!! AmneziaXSkittels 1G IMPORT
11,04-08-2020 16:19:34,Tbilisi,JVZTQ,partyshop,1 Amnesia Haze марихуана шишки тгк 25%,True,4,нет,Тбилиси,1 гр,0.0053,4403,1677,147,60,,,,,,,,,,,,1 Amnesia Haze marihuana shishki tgk 25%
12,04-08-2020 16:19:34,Tbilisi,18FB,Mr.Green Tbilis,1 G Hybrid Marijuana Buds,True,7,нет,Тбилиси,1 гр,0.0052,4329,1649,144,59,,,,,,,,,,,,1 G Hybrid Marijuana Buds
13,04-08-2020 16:19:34,Tbilisi,BB6E,WEEDSH0P,"1 gr , california ,GORILLA GLUE марихуана BUDS btc sale 1%",True,2,нет,Тбилиси,1 гр,0.0053,4403,1677,147,60,,,,,,,,,,,,"1 gr , california ,GORILLA GLUE marihuana BUDS btc sale 1%"
14,04-08-2020 16:19:34,Tbilisi,03F3,geoshop,1 gr Amnesia Haze шишки импорт с европы тгк 28%,True,1,нет,Тбилиси,1 гр,0.0053,4403,1677,147,60,,,,,,,,,,,,1 gr Amnesia Haze shishki import s evropy tgk 28%
15,04-08-2020 16:19:34,Tbilisi,BB6E,WEEDSH0P,"1 gr california import Durban Poison марихуана BUDS 24% thc , sativa , если платите с бтк скидка",True,3,нет,Тбилиси,1 гр,0.0049,4036,1537,135,55,,,,,,,,,,,,"1 gr california import Durban Poison marihuana BUDS 24% thc , sativa , esli platite s btk skidka"
16,04-08-2020 16:19:34,Tbilisi,BB6E,WEEDSH0P,1 gr super lemon haze пробник,True,1,нет,Тбилиси,1 гр,0.0052,4329,1649,144,59,,,,,,,,,,,,1 gr super lemon haze probnik
17,04-08-2020 16:19:34,Tbilisi,SF03,CRAZYFROG,1 gr top buds white widow wишки THC 25% VHQ,True,2,нет,Тбилиси,1 гр,0.0052,4329,1649,144,59,True,,,,,,,,,,,1 gr top buds white widow wishki THC 25% VHQ
18,04-08-2020 16:19:34,Tbilisi,3Y9,HIGHTHC,1 г SOUR DIESEL марихуана шишки топ качество тгк 28%,True,3,нет,Тбилиси,1 гр,0.0052,4329,1649,144,59,,,,,,,,,,,,1 g SOUR DIESEL marihuana shishki top kachestvo tgk 28%
19,04-08-2020 16:19:34,Tbilisi,QUZIV,Hollyweed,1 г.Super Skunk top class buds! (подезд),,3,нет,Тбилиси,1 гр,0.0049,4036,1537,135,55,,True,,,,,,,,,,1 g.Super Skunk top class buds! (podezd)
20,04-08-2020 16:19:34,Tbilisi,7R3WM,RastaShop,1.0 gr. Afghan kush 100% Natural (Indika),,2,нет,Тбилиси,1 гр,0.0047,3889,1481,130,53,True,,,,,,,,,,,1.0 gr. Afghan kush 100% Natural (Indika)
21,04-08-2020 16:19:34,Tbilisi,7R3WM,RastaShop,1.0 gr. Amnesia Haze 100% Natural/ IMPORT / Sativa,,3,нет,Тбилиси,1 гр,0.0047,3889,1481,130,53,True,,,,,,,,,,,1.0 gr. Amnesia Haze 100% Natural/ IMPORT / Sativa
22,04-08-2020 16:19:34,Tbilisi,SF03,CRAZYFROG,"1GR GORILLA GLUE AUTO Шишки ,Оплата BITCOIN -10% Скидка",True,2,нет,Тбилиси,1 гр,0.0053,4403,1677,147,60,,,,,,,,,,,,"1GR GORILLA GLUE AUTO Shishki ,Oplata BITCOIN -10% Skidka"
23,04-08-2020 16:19:34,Tbilisi,7LHWP,GEOBUDS,1gr HYBRID o.g,True,28,нет,Тбилиси,1 гр,0.0043,3596,1370,120,49,,,,,,,,,,,,1gr HYBRID o.g
24,04-08-2020 16:19:34,Tbilisi,8B31,GEOWEEDSHOP,1гр Топ класс HYBRID шишки. 50% sativa 50% indica (КЛАДИ НА МАГНИТАХ),True,11,нет,Тбилиси,1 гр,0.0043,3596,1370,120,49,,,,,,,,,,,,1gr Top klass HYBRID shishki. 50% sativa 50% indica (KLADI NA MAGNITAH)
25,04-08-2020 16:19:34,Tbilisi,42AF,Leningrad6,Amsterdam weed sativa 1гр,True,14,нет,Тбилиси,1 гр,0.0041,3376,1286,113,46,,,,,,,,,,,,Amsterdam weed sativa 1gr
26,04-08-2020 16:19:34,Tbilisi,H9FHF,OldStar,Auto Amnesia Haze 1 gr,True,16,нет,Тбилиси,1 гр,0.0035,3000,1380,99,,,,,,,,,,,,,Auto Amnesia Haze 1 gr
27,04-08-2020 16:19:34,Tbilisi,XUYA,MRweed,"Gorilla Breath - photoperiod, feminised 1 гр",True,4,нет,Тбилиси,1 гр,0.0044,4036,1537,135,55,,,True,,,,,,,,,"Gorilla Breath - photoperiod, feminised 1 gr"
