,time_stamp,region,sell_code,sell_name,description,Тбилиси,готовых,предзаказ,город,вес,BTC,ք,₴,Br,$,Saburtalo,Nadzaladevi,Old Tbilisi (Старый город),Vake,Gldani,Didube,€,Авлобари,Центр,Батуми,Кутаиси,desc_en
0,04-04-2020 05:26:02,Tbilisi,F8K,BestAcid,Метадон - 0.12 г Новая партия!,True,1,нет,Тбилиси,0.12 гр,0.0142,8551,3042,284,110,,,,,,,,,,,,Metadon - 0.12 g Novaja partija!
1,04-04-2020 05:26:02,Tbilisi,A3I9,Joookerrr,"MDMA чистоган!!! ""Цуунаммииии удовольсвия""!!!! 0.2 грамм",,4,нет,Тбилиси,0.2 гр,0.0045,2721,968,90,35,True,,,,,,,,,,,"MDMA chistogan!!! ""Tsuunammiiii udovol'svija""!!!! 0.2 gramm"
2,04-04-2020 05:26:02,Tbilisi,A3I9,Joookerrr,MDMA 0.210 грам.,,1,нет,Тбилиси,0.21 гр,0.0045,2721,968,90,35,True,,,,,,,,,,,MDMA 0.210 gram.
3,04-04-2020 05:26:02,Tbilisi,V4T,COCAcoLA,HEROINE-999 0.25гр из авганистана! скидка при покупке BTC,,3,нет,Тбилиси,0.25 гр,0.0225,12359,4396,411,159,True,,,,,,,,,,,HEROINE-999 0.25gr iz avganistana! skidka pri pokupke BTC
4,04-04-2020 05:26:02,Tbilisi,V4T,COCAcoLA,SALE!!! METHADONE 0.25 THE BEST QUALITY VHQ SALE!!!,,1,нет,Тбилиси,0.25 гр,0.0255,13992,4977,465,180,True,,,,,,,,,,,SALE!!! METHADONE 0.25 THE BEST QUALITY VHQ SALE!!!
5,04-04-2020 05:26:02,Tbilisi,H9FHF,OldStar,0.3 a-pvp white,True,3,нет,Тбилиси,0.3 гр,0.0091,5000,2301,168,,,,,,,,,,,,,0.3 a-pvp white
6,04-04-2020 05:26:02,Tbilisi,9VLN,AlienShop,.✨0.50 gram. MDMA✨.,True,1,нет,Тбилиси,0.5 гр,0.0099,5364,1908,178,69,,,,,,,,,,,,.✨0.50 gram. MDMA✨.
7,04-04-2020 05:26:02,Tbilisi,H9FHF,OldStar,0.5 a-pvp white,True,7,нет,Тбилиси,0.5 гр,0.0128,7000,3221,235,,,,,,,,,,,,,0.5 a-pvp white
8,04-04-2020 05:26:02,Tbilisi,LGRP8,Walker12,Afghan Kashmir 0.5 ! 27%THC топ товар!BTC 5 % SALE,True,6,нет,Тбилиси,0.5 гр,0.0041,2332,830,78,30,,True,,,,,,,,,,Afghan Kashmir 0.5 ! 27%THC top tovar!BTC 5 % SALE
9,04-04-2020 05:26:02,Tbilisi,SDQN,YummyShop,Cocaine Pure VHQ 0.5g,True,3,нет,Тбилиси,0.5 гр,0.0135,7696,2737,256,99,,,,,,,,,,,,Cocaine Pure VHQ 0.5g
10,04-04-2020 05:26:02,Tbilisi,V4T,COCAcoLA,HEROINE-999 0.5гр СКИДКИ КАРАНТИННЫе греча из авганистана! скидка при покупке BTC,,3,нет,Тбилиси,0.5 гр,0.0425,23320,8295,775,300,True,,,,,,,,,,,HEROINE-999 0.5gr SKIDKI KARANTINNYe grecha iz avganistana! skidka pri pokupke BTC
