,time_stamp,region,sell_code,sell_name,description,Тбилиси,готовых,предзаказ,город,вес,BTC,ք,₴,Br,$,Saburtalo,Дигоми,Gldani,Old Tbilisi (Старый город),Авлобари,€,Vake,Varketili,Батуми,Центр,desc_en
0,09-07-2020 08:36:10,Tbilisi,7LHWP,GEOBUDS,0.5 gr HYBRID buds,True,7,нет,Тбилиси,0.5 гр,0.0035,2351,898,81,33,,,,,,,,,,,0.5 gr HYBRID buds
1,09-07-2020 08:36:10,Tbilisi,9Y6T,WeedShop,0.5г Ak - 47,True,4,нет,Тбилиси,0.5 гр,0.0033,2280,870,78,32,,,,,,,,,,,0.5g Ak - 47
2,09-07-2020 08:36:10,Tbilisi,JVZTQ,partyshop,1 Amnesia Haze марихуана шишки тгк 25%,,1,нет,Тбилиси,1 гр,0.0062,4274,1632,146,60,True,,,,,,,,,,1 Amnesia Haze marihuana shishki tgk 25%
3,09-07-2020 08:36:10,Tbilisi,XUYA,MRweed,"Hindu Kush (photoperiod, regular) 1гр",,1,нет,Тбилиси,1 гр,0.0052,3918,1496,134,55,,True,,,,,,,,,"Hindu Kush (photoperiod, regular) 1gr"
4,09-07-2020 08:36:10,Tbilisi,2LA7,ACROBATS,Марихуана бошки OG KUSH этим все сказано. 1г.,,1,нет,Тбилиси,1 гр,0.0052,3562,1360,122,50,True,,,,,,,,,,Marihuana boshki OG KUSH etim vse skazano. 1g.
5,09-07-2020 08:36:10,Tbilisi,A3I9,Joookerrr,Марки н-боооом!!! 1 шт.,,1,нет,Тбилиси,1 гр,0.0019,1282,490,44,18,True,,,,,,,,,,Marki n-boooom!!! 1 sht.
6,09-07-2020 08:36:10,Tbilisi,7U9YP,ChitosPizz,Сирец Иран 1гр,True,2,нет,Тбилиси,1 гр,0.0204,15316,5848,525,215,,,,,,,,,,,Sirets Iran 1gr
7,09-07-2020 08:36:10,Tbilisi,18FB,Mr.Green Tbilis,2 G Hybrid Marijuana Buds,,1,нет,Тбилиси,2 гр,0.0114,7765,2965,266,109,True,,,,,,,,,,2 G Hybrid Marijuana Buds
8,09-07-2020 08:36:10,Tbilisi,3Y9,HIGHTHC,2 г SOUR DIESEL марихуана шишки топ качество тгк 28%,,1,нет,Тбилиси,2 гр,0.0104,7124,2720,244,100,,,True,,,,,,,,2 g SOUR DIESEL marihuana shishki top kachestvo tgk 28%
9,09-07-2020 08:36:10,Tbilisi,3Y9,HIGHTHC,2 г Skunk #1 марихуана шишки тгк 29% VHQ,,2,нет,Тбилиси,2 гр,0.0104,7124,2720,244,100,,,True,,,,,,,,2 g Skunk #1 marihuana shishki tgk 29% VHQ
10,09-07-2020 08:36:10,Tbilisi,3TGJ9,Elegant,3g. марихуана шишки Critical,True,1,нет,Тбилиси,3 гр,0.0142,10686,4080,366,150,,,,,,,,,,,3g. marihuana shishki Critical
