,Unnamed: 0,time_stamp,region,sell_code,description,Old Tbilisi (Старый город),готовых,предзаказ,город,вес,BTC,ք,₴,Br,$,Saburtalo,Тбилиси,Nadzaladevi,Didube,€,Авлобари,Батуми,Центр,Кутаиси,desc_en
0,0,26-04-2020 13:16:30,Tbilisi,69672fee0d,0.5 г SOUR DIESEL марихуана шишки топ качество тгк 28%,True,3,нет,Тбилиси,0.5 гр,0.0045,2615,957,86,35.0,,,,,,,,,,0.5 g SOUR DIESEL marihuana shishki top kachestvo tgk 28%
1,1,26-04-2020 13:16:30,Tbilisi,69672fee0d,0.5 г Skunk #1 марихуана шишки тгк 29% VHQ,True,4,нет,Тбилиси,0.5 гр,0.0044,2540,930,84,34.0,,,,,,,,,,0.5 g Skunk #1 marihuana shishki tgk 29% VHQ
2,2,26-04-2020 13:16:30,Tbilisi,89f7212915,1 G Hybrid Marijuana Buds,,19,нет,Тбилиси,1 гр,0.0065,4109,1504,135,55.0,True,,,,,,,,,1 G Hybrid Marijuana Buds
3,3,26-04-2020 13:16:30,Tbilisi,61df6a1c90,Метадон 1гр,,1,нет,Тбилиси,1 гр,0.1062,67245,24615,2217,900.0,,True,,,,,,,,Metadon 1gr
4,4,26-04-2020 13:16:30,Tbilisi,83f3d55917,19% ТГК Шишки Northern Lights 2 Gr Скидка 1 % через БИТКОИН !!!,,3,нет,Тбилиси,2 гр,0.0104,5977,2188,197,80.0,,,True,,,,,,,19% TGK Shishki Northern Lights 2 Gr Skidka 1 % cherez BITKOIN !!!
5,5,26-04-2020 13:16:30,Tbilisi,366326d4d6,2LSD ---- LSD ALBERT HOFFMAN 200ug,,2,нет,Тбилиси,2 гр,0.0104,5903,2161,195,79.0,,True,,,,,,,,2LSD ---- LSD ALBERT HOFFMAN 200ug
6,6,26-04-2020 13:16:30,Tbilisi,4c4ab8c0de,✨✨🍃🍃2pc. LSD California sunshine 200ug.🍃🍃✨✨,,7,нет,Тбилиси,2 гр,0.011000000000000001,6351,2325,209,85.0,,,,True,,,,,,✨✨🍃🍃2pc. LSD California sunshine 200ug.🍃🍃✨✨
7,7,26-04-2020 13:16:30,Tbilisi,c9a56b2b4a,3x Extasy Duracell 223mg MDMA. Авламбари,,2,нет,Тбилиси,3 гр,0.0138,7845,2872,259,105.0,,True,,,,,,,,3x Extasy Duracell 223mg MDMA. Avlambari
8,8,26-04-2020 13:16:30,Tbilisi,dd631c4acf,️‍🌈️‍🌈️‍🌈3 LSD 200ug.🌈️‍🌈️‍🌈,,2,нет,Тбилиси,3 гр,0.0156,8891,3255,293,119.0,,True,,,,,,,,️‍🌈️‍🌈️‍🌈3 LSD 200ug.🌈️‍🌈️‍🌈
9,9,26-04-2020 13:16:30,Tbilisi,dd631c4acf,️‍🤩🌈️‍🌈️‍🌈3 LSD 200ug.🌈️‍🌈️‍🌈🤩,,2,нет,Тбилиси,3 гр,0.0156,8891,3255,293,119.0,,True,,,,,,,,️‍🤩🌈️‍🌈️‍🌈3 LSD 200ug.🌈️‍🌈️‍🌈🤩
10,10,26-04-2020 13:16:30,Tbilisi,ad9cb826c6,"5 Grm MDMA , Purity A +++",,1,нет,Тбилиси,5 гр,0.0399,23909,8752,788,320.0,,True,,,,,,,,"5 Grm MDMA , Purity A +++"
11,11,26-04-2020 13:16:30,Tbilisi,c9a56b2b4a,5x Extasy Duracell 223mg MDMA. Технический универ,,1,нет,Тбилиси,5 гр,0.0229,13075,4786,431,175.0,,True,,,,,,,,5x Extasy Duracell 223mg MDMA. Tehnicheskij univer
12,12,26-04-2020 13:16:30,Tbilisi,0a8c230fa2,VHQ BEST Cocaine 5g.,,1,нет,Тбилиси,5 гр,0.1447,85924,31453,2832,1150.0,,True,,,,,,,,VHQ BEST Cocaine 5g.
13,13,26-04-2020 13:16:30,Tbilisi,e56bb6ca93,10 gr marijuana buds. -indica-,,3,нет,Тбилиси,10 гр,0.0271,15616,5716,515,209.0,,,,True,,,,,,10 gr marijuana buds. -indica-
14,14,26-04-2020 13:16:30,Tbilisi,c225d2f67d,гашиш евро 10г,,2,нет,Тбилиси,10 гр,0.0498,29887,10940,985,400.0,,True,,,,,,,,gashish evro 10g
15,15,26-04-2020 13:16:30,Tbilisi,e56bb6ca93,20 gr Indica marijuana buds (hight quality),,7,нет,Тбилиси,20 гр,0.0526,30260,11077,998,405.0,,,True,True,,,,,,20 gr Indica marijuana buds (hight quality)
16,16,26-04-2020 13:16:30,Tbilisi,c225d2f67d,Гашиш Евро 20гр,,1,нет,Тбилиси,20 гр,0.0968,58055,21251,1914,777.0,,True,,,,,,,,Gashish Evro 20gr
17,17,26-04-2020 13:16:30,Tbilisi,ea97036e14,Метамферамин рацемат 60 г (мини-опт),,1,нет,Тбилиси,60 гр,0.23600000000000002,149433,54700,4926,2000.0,,True,,,,,,,,Metamferamin ratsemat 60 g (mini-opt)
18,18,26-04-2020 13:16:30,Tbilisi,dd631c4acf,❄❄2g HQ COCAINE❄❄,,нет,9,Тбилиси,2 гр,0.0484,27570,10092,909,369.0,,True,,,,,,,,❄❄2g HQ COCAINE❄❄
19,19,26-04-2020 13:16:30,Tbilisi,dd631c4acf,❄☃️❄NEW! 3g. HQ COCAINE❄☃️❄,,нет,10,Тбилиси,3 гр,0.0773,44083,16137,1453,590.0,,True,,,,,,,,❄☃️❄NEW! 3g. HQ COCAINE❄☃️❄
20,20,26-04-2020 13:16:30,Tbilisi,54915c4374,"""JoKer Express"" - Марки н боом 4 штуки!",,нет,4,Тбилиси,4 гр,0.0084,4815,1770,159,,,True,,,60.0,,,,,"""JoKer Express"" - Marki n boom 4 shtuki!"
21,21,26-04-2020 13:16:30,Tbilisi,7c395c455d,10+1 ecstasy RED MASERATI 300mg md екстази топ !! скидка за бтк 4g,,нет,7,Тбилиси,4 гр,0.0519,29887,10940,985,400.0,,True,,,,,,,,10+1 ecstasy RED MASERATI 300mg md ekstazi top !! skidka za btk 4g
22,22,26-04-2020 13:16:30,Tbilisi,4a91350669,5 MDMA VHQ Кристаллы высокого качества импорт США purity 95%,,нет,5,Тбилиси,5 гр,0.0714,41094,15043,1355,550.0,,True,,,,,,,,5 MDMA VHQ Kristally vysokogo kachestva import SShA purity 95%
23,23,26-04-2020 13:16:30,Tbilisi,cb721d4bca,5 gr Шишки “OG KUSH VHQ”,,нет,6,Тбилиси,5 гр,0.0221,12702,4650,419,170.0,,True,,,,,,,,5 gr Shishki “OG KUSH VHQ”
24,24,26-04-2020 13:16:30,Tbilisi,cb721d4bca,"5gr Sour Diesel Haze марихуана шишки , Оплата BITCOIN -10% Скидка.",,нет,9,Тбилиси,5 гр,0.0258,14869,5443,490,199.0,,True,,,,,,,,"5gr Sour Diesel Haze marihuana shishki , Oplata BITCOIN -10% Skidka."
25,25,26-04-2020 13:16:30,Tbilisi,bb1791277e,Amnesia Haze Auto марихуана 5 GR BUDS imported !!,,нет,6,Тбилиси,5 гр,0.0258,14869,5443,490,199.0,,True,,,,,,,,Amnesia Haze Auto marihuana 5 GR BUDS imported !!
26,26,26-04-2020 13:16:30,Tbilisi,1dfc50c91e,"Black Domina, MARIJUANA BUDS 5G, BTC SALE 10%",,нет,2,Тбилиси,5 гр,0.0258,16363,5990,539,219.0,,True,,,,,,,,"Black Domina, MARIJUANA BUDS 5G, BTC SALE 10%"
27,27,26-04-2020 13:16:30,Tbilisi,bb1791277e,NORTHEN LIGHTS 5 gr марихуана если платите с бтк скидка 10% !!,,нет,6,Тбилиси,5 гр,0.0258,14869,5443,490,199.0,,True,,,,,,,,NORTHEN LIGHTS 5 gr marihuana esli platite s btk skidka 10% !!
28,28,26-04-2020 13:16:30,Tbilisi,16be2c8499,реагент 25i nbome. 5гр,,нет,2,Тбилиси,5 гр,0.3,190000,87429,6265,,,True,,,,,,,,reagent 25i nbome. 5gr
29,29,26-04-2020 13:16:30,Tbilisi,16be2c8499,реагент 25i nbome. марочный реагент. 5 грамм. скидка при оплате биткойн 10%,True,нет,2,Тбилиси,5 гр,0.354,224149,82050,7389,3000.0,,,,,,True,,,,reagent 25i nbome. marochnyj reagent. 5 gramm. skidka pri oplate bitkojn 10%
30,30,26-04-2020 13:16:30,Tbilisi,dd631c4acf,❄☃️☃️❄5g. HQ coco Best OFFER❄☃️☃️❄,,нет,10,Тбилиси,5 гр,0.1139,64928,23767,2140,869.0,,True,,,,,,,,❄☃️☃️❄5g. HQ coco Best OFFER❄☃️☃️❄
