,Unnamed: 0,time_stamp,region,sell_code,description,Батуми,готовых,предзаказ,город,вес,BTC,ք,₴,Br,$,Центр,Кутаиси,desc_en
0,0,07-03-2020 07:56:37,Batumi,c72111ac1a,NZT-52 limited 1 г мука,True,27,нет,Батуми,1 гр,0.0193,13504,5026,448,200,,,NZT-52 limited 1 g muka
1,1,07-03-2020 07:56:37,Batumi,3ee37c89bb,ORANGE PUNCH [1g],True,5,нет,Батуми,1 гр,0.0064,4051,1508,134,60,,,ORANGE PUNCH [1g]
2,2,07-03-2020 07:56:37,Batumi,012f23b5ea,Power Africa 1g,True,1,нет,Батуми,1 гр,0.0048,3376,1257,112,50,,,Power Africa 1g
3,3,07-03-2020 07:56:37,Batumi,c72111ac1a,NZT-52 limited 2г мука,True,13,нет,Батуми,2 гр,0.0347,24306,9047,806,360,,,NZT-52 limited 2g muka
4,4,07-03-2020 07:56:37,Batumi,3c4662c591,Super Critical HIGHEST QUALITY 2G,,5,нет,Батуми,2 гр,0.0106,6752,2513,224,100,True,,Super Critical HIGHEST QUALITY 2G
5,5,07-03-2020 07:56:37,Batumi,3ee37c89bb,ТРАВА ORANGE PUNCH [2g],True,3,нет,Батуми,2 гр,0.0053,3376,1257,112,50,,,TRAVA ORANGE PUNCH [2g]
6,6,07-03-2020 07:56:37,Batumi,3c4662c591,Super Critical HIGHEST QUALITY 5G,,2,нет,Батуми,5 гр,0.0265,16879,6283,560,250,True,,Super Critical HIGHEST QUALITY 5G
7,7,07-03-2020 07:56:37,Batumi,30f48d507d,Skunk! 50 gr.,True,1,нет,Батуми,50 гр,0.1589,101276,37695,3359,1500,,,Skunk! 50 gr.
8,8,07-03-2020 07:56:37,Batumi,f8a875c191,METADON - VHQ - (KRISTAL) - 0.27 G ( SALE ),True,3,5,Батуми,0.27 гр,0.0289,18230,6785,605,270,,,METADON - VHQ - (KRISTAL) - 0.27 G ( SALE )
9,9,07-03-2020 07:56:37,Batumi,ea97036e14,Метамфетамин рацемат 5 г. (MQ),True,нет,17,Батуми,5 гр,0.0193,13504,5026,448,200,,,Metamfetamin ratsemat 5 g. (MQ)
10,10,07-03-2020 07:56:37,Batumi,f8a875c191,SUBOXIN - HQ - 100 G.,True,нет,2,Батуми,100 гр,0.214,135035,50260,4479,2000,,,SUBOXIN - HQ - 100 G.
11,11,07-03-2020 07:56:37,Batumi,f8a875c191,MARIXYANA - 150 G. (SHISHKI) SALE 10% BTC,True,нет,3,Батуми,150 гр,0.1605,101276,37695,3359,1500,,,MARIXYANA - 150 G. (SHISHKI) SALE 10% BTC
12,12,07-03-2020 07:56:37,Batumi,d4df7908c3,"Ищу курьера (кладчик, кладмен)",True,1,нет,Батуми,1 гр,0.0107,6752,2513,224,100,,,"Ischu kur'era (kladchik, kladmen)"
13,13,07-03-2020 07:56:37,Batumi,22610cd7c4,курьер в Батуми,True,1,нет,Батуми,1 гр,0.0048,3376,1257,112,50,,,kur'er v Batumi
14,14,07-03-2020 07:56:37,Batumi,012f23b5ea,Работа кладмэном. Только шишки.,True,1,нет,Батуми,5 гр,0.0241,16879,6283,560,250,,,Rabota kladmenom. Tol'ko shishki.
15,15,07-03-2020 07:56:37,Batumi,54915c4374,Работа на марки (курьер),True,1,нет,Батуми,10 гр,0.0144,10128,3770,336,150,,,Rabota na marki (kur'er)
16,16,07-03-2020 07:56:37,Batumi,ce6827deee,Ищу курьера в Грузии!,True,1,нет,Батуми,50 гр,0.0241,16879,6283,560,250,,,Ischu kur'era v Gruzii!
17,17,07-03-2020 07:56:37,Batumi,ea97036e14,Вакансия оптового курьера на меф,True,нет,1,Батуми,400 гр,1.6034,1012763,376950,33594,15000,,,Vakansija optovogo kur'era na mef
18,18,07-03-2020 07:56:37,Batumi,16be2c8499,"Вакансия работа курьером на марки! Оплата от 50$ за клад, залог 500$",True,нет,2,Батуми,1000 гр,0.053,33759,12565,1120,500,True,,"Vakansija rabota kur'erom na marki! Oplata ot 50$ za klad, zalog 500$"
19,19,07-03-2020 07:57:32,Kutaisi,d4df7908c3,"Шишки / Weed Afghan Kush, 3g",,1,3,Кутаиси,3 гр,0.0116,7292,2714,242,108,,True,"Shishki / Weed Afghan Kush, 3g"
20,20,07-03-2020 07:57:32,Kutaisi,d4df7908c3,"Ищу курьера (кладчик, кладмен)",,1,нет,Кутаиси,1 гр,0.0107,6752,2513,224,100,,True,"Ischu kur'era (kladchik, kladmen)"
21,21,07-03-2020 07:57:32,Kutaisi,54915c4374,Работа на марки (курьер),,1,нет,Кутаиси,10 гр,0.0144,10128,3770,336,150,,True,Rabota na marki (kur'er)
