,time_stamp,region,sell_code,sell_name,description,Тбилиси,готовых,предзаказ,город,вес,BTC,ք,₴,Br,$,Gldani,€,Nadzaladevi,Varketili,Didube,Old Tbilisi (Старый город),Дигоми,Saburtalo,Авлобари,Батуми,Центр,Кутаиси,desc_en
0,13-04-2020 22:07:03,Tbilisi,Z5UFK,Vein,Cocaine Fishscale! Limited Quantity 0.5 g. акция -15% при оплате бтк!!!,True,3,нет,Тбилиси,0.5 гр,0.0219,13676,5069,460,186,,,,,,,,,,,,,Cocaine Fishscale! Limited Quantity 0.5 g. aktsija -15% pri oplate btk!!!
1,13-04-2020 22:07:03,Tbilisi,SDQN,YummyShop,Cocaine Pure VHQ 0.5g,True,1,нет,Тбилиси,0.5 гр,0.0143,8014,2970,270,109,,,,,,,,,,,,,Cocaine Pure VHQ 0.5g
2,13-04-2020 22:07:03,Tbilisi,A3I9,Joookerrr,MDMA 0.5 грам.,True,3,нет,Тбилиси,0.5 гр,0.0093,5514,2044,186,75,,,,,,,,,,,,,MDMA 0.5 gram.
3,13-04-2020 22:07:03,Tbilisi,91Z98,Avocado,Pure COCAINE VHQ 0.5g,True,1,нет,Тбилиси,0.5 гр,0.0171,9558,3543,322,130,,,,,,,,,,,,,Pure COCAINE VHQ 0.5g
4,13-04-2020 22:07:03,Tbilisi,JVZTQ,partyshop,1 Amnesia Haze марихуана шишки тгк 25%,True,1,нет,Тбилиси,1 гр,0.006,3235,1199,109,44,,,,,,,,,,,,,1 Amnesia Haze marihuana shishki tgk 25%
5,13-04-2020 22:07:03,Tbilisi,18FB,Mr.Green Tbilis,1 G Hybrid Marijuana Buds За BТС 10% СКИДКА,True,9,нет,Тбилиси,1 гр,0.0068,4044,1499,136,55,,,,,,,,,,,,,1 G Hybrid Marijuana Buds Za BTS 10% SKIDKA
6,13-04-2020 22:07:03,Tbilisi,BB6E,WEEDSH0P,"1 gr california import Durban Poison марихуана BUDS 24% thc , sativa , если платите с бтк скидка",True,1,нет,Тбилиси,1 гр,0.0075,4044,1499,136,55,,,,,,,,,,,,,"1 gr california import Durban Poison marihuana BUDS 24% thc , sativa , esli platite s btk skidka"
7,13-04-2020 22:07:03,Tbilisi,LYHBG,Playboy,1G --... BoLiVian Coke ...-- 1G,True,21,нет,Тбилиси,1 гр,0.0303,16102,5968,542,219,,,,,,,,,,,,,1G --... BoLiVian Coke ...-- 1G
8,13-04-2020 22:07:03,Tbilisi,BB6E,WEEDSH0P,1гр new!! OG kush марихуана BUDS 23% thc если платите с бтк скидка 10% 49реално !,True,4,нет,Тбилиси,1 гр,0.0075,4044,1499,136,55,,,,,,,,,,,,,1gr new!! OG kush marihuana BUDS 23% thc esli platite s btk skidka 10% 49realno !
9,13-04-2020 22:07:03,Tbilisi,SDQN,YummyShop,Cocaine Pure VHQ 1g,True,2,нет,Тбилиси,1 гр,0.0255,14264,5287,480,194,,,,,,,,,,,,,Cocaine Pure VHQ 1g
10,13-04-2020 22:07:03,Tbilisi,91Z98,Avocado,VHQ BEST Cocaine 1g.,True,1,нет,Тбилиси,1 гр,0.0276,15440,5723,520,210,,,,,,,,,,,,,VHQ BEST Cocaine 1g.
11,13-04-2020 22:07:03,Tbilisi,A3I9,Joookerrr,Божественный эйфорик!!! Марки нбоооом!!! 1 штука!!!!,True,20,нет,Тбилиси,1 гр,0.0025,1450,536,49,,True,18,,,,,,,,,,,Bozhestvennyj ejforik!!! Marki nboooom!!! 1 shtuka!!!!
12,13-04-2020 22:07:03,Tbilisi,1IZXK,BadboysTbl,Метадон 1гр,True,1,нет,Тбилиси,1 гр,0.112,66172,24525,2228,900,,,,,,,,,,,,,Metadon 1gr
13,13-04-2020 22:07:03,Tbilisi,6UG,Good Enuff,"Мощнейшие марки 25I nbome 1 шт. Готовые клады в Грузии, от производителя!",True,3,нет,Тбилиси,1 гр,0.0025,1470,545,50,20,,,,,,,,,,,,,"Moschnejshie marki 25I nbome 1 sht. Gotovye klady v Gruzii, ot proizvoditelja!"
14,13-04-2020 22:07:03,Tbilisi,9VLN,AlienShop,☃️❄1g. New COCAINE!!❄☃️,True,2,нет,Тбилиси,1 гр,0.0261,13896,5150,468,189,,,,,,,,,,,,,☃️❄1g. New COCAINE!!❄☃️
15,13-04-2020 22:07:03,Tbilisi,LGRP8,Walker12,19% ТГК Шишки Northern Lights 1.1г Скидка 1 через БИТКОИН,True,9,нет,Тбилиси,1.1 гр,0.0052,2794,1036,94,38,,,True,True,,,,,,,,,19% TGK Shishki Northern Lights 1.1g Skidka 1 cherez BITKOIN
16,13-04-2020 22:07:03,Tbilisi,JVZTQ,partyshop,2 Amnesia Haze марихуана шишки тгк 25%,True,5,нет,Тбилиси,2 гр,0.0103,5514,2044,186,75,,,,,,,,,,,,,2 Amnesia Haze marihuana shishki tgk 25%
17,13-04-2020 22:07:03,Tbilisi,18FB,Mr.Green Tbilis,2 G Hybrid Marijuana Buds За BТС 10% СКИДКА,True,2,нет,Тбилиси,2 гр,0.0124,7352,2725,248,100,,,,,,,,,,,,,2 G Hybrid Marijuana Buds Za BTS 10% SKIDKA
18,13-04-2020 22:07:03,Tbilisi,SF03,CRAZYFROG,2 gr Шишки “OG KUSH VHQ”,True,3,нет,Тбилиси,2 гр,0.0094,5073,1880,171,69,,,,,,,,,,,,,2 gr Shishki “OG KUSH VHQ”
19,13-04-2020 22:07:03,Tbilisi,QUZIV,Hollyweed,2g super Skunk top class buds. Indica,,2,нет,Тбилиси,2 гр,0.0117,6250,2316,210,85,True,,,,,,,,,,,,2g super Skunk top class buds. Indica
20,13-04-2020 22:07:03,Tbilisi,NVOG,ProperMgzn,2x Extasy Duracell 223mg MDMA.,True,4,нет,Тбилиси,2 гр,0.0097,5147,1908,173,70,,,,,,,,,,,,,2x Extasy Duracell 223mg MDMA.
21,13-04-2020 22:07:03,Tbilisi,BB6E,WEEDSH0P,Crystal METH 2gr Auto марихуана BUDS ! 15% pay bitcoin discount !,True,3,нет,Тбилиси,2 гр,0.013,6985,2589,235,95,,,,,,,,,,,,,Crystal METH 2gr Auto marihuana BUDS ! 15% pay bitcoin discount !
22,13-04-2020 22:07:03,Tbilisi,XH0NP,XX-PABLO-XX,METADON - 2 G.,True,1,нет,Тбилиси,2 гр,0.1244,66172,24525,2228,900,,,,,,,,,,,,,METADON - 2 G.
23,13-04-2020 22:07:03,Tbilisi,6UG,Good Enuff,Мощные жирные марки 25i nbome. 2шт. готовые клады в Грузии от производителя!,True,3,нет,Тбилиси,2 гр,0.0044,2573,954,87,35,,,,,,,,,,,,,Moschnye zhirnye marki 25i nbome. 2sht. gotovye klady v Gruzii ot proizvoditelja!
24,13-04-2020 22:07:03,Tbilisi,P5MBO,ToppoT,✨✨🍃🍃2pc. LSD California sunshine 200ug.🍃🍃✨✨,,2,нет,Тбилиси,2 гр,0.0116,6250,2316,210,85,,,,,True,,,,,,,,✨✨🍃🍃2pc. LSD California sunshine 200ug.🍃🍃✨✨
25,13-04-2020 22:07:03,Tbilisi,QUZIV,Hollyweed,3g superskunk top class buds. Indica,,1,нет,Тбилиси,3 гр,0.0169,8970,3325,302,122,True,,,,,,,,,,,,3g superskunk top class buds. Indica
26,13-04-2020 22:07:03,Tbilisi,NVOG,ProperMgzn,3x Extasy Duracell 223mg MDMA,True,4,нет,Тбилиси,3 гр,0.0145,7720,2861,260,105,,,,,,,,,,,,,3x Extasy Duracell 223mg MDMA
27,13-04-2020 22:07:03,Tbilisi,A3I9,Joookerrr,Божественный эйфорик!!! Марки нбоооом!!! 4 штуки!!!,True,6,нет,Тбилиси,4 гр,0.0082,4832,1788,162,,,60,,,,True,,,,,,,Bozhestvennyj ejforik!!! Marki nboooom!!! 4 shtuki!!!
28,13-04-2020 22:07:03,Tbilisi,LYHBG,Playboy,!!!NEW!!! 5G Critical KusH !!!NEW!!!,True,1,нет,Тбилиси,5 гр,0.0274,14558,5396,490,198,,,,,,,,,,,,,!!!NEW!!! 5G Critical KusH !!!NEW!!!
29,13-04-2020 22:07:03,Tbilisi,C7LQ,Scandal,"5 Grm MDMA , Purity A +++",True,1,нет,Тбилиси,5 гр,0.042,23528,8720,792,320,,,,,,,,,,,,,"5 Grm MDMA , Purity A +++"
30,13-04-2020 22:07:03,Tbilisi,BCF,Doitgod,5 Grm Mdma Pure Quality A +++,True,3,нет,Тбилиси,5 гр,0.0406,22057,8175,743,300,,,,,,,,,,,,,5 Grm Mdma Pure Quality A +++
31,13-04-2020 22:07:03,Tbilisi,1GT8,GREENGY,5g MDMA (IMPORTED),True,1,нет,Тбилиси,5 гр,0.0525,29410,10900,990,400,,,,,,,,,,,,,5g MDMA (IMPORTED)
32,13-04-2020 22:07:03,Tbilisi,8B31,GEOWEEDSHOP,5gr marijuana buds -indica- (hight quality),True,3,нет,Тбилиси,5 гр,0.0183,9852,3652,332,134,,,,,,,,,,,,,5gr marijuana buds -indica- (hight quality)
33,13-04-2020 22:07:03,Tbilisi,NVOG,ProperMgzn,5x Extasy Duracell 223mg MDMA.,True,5,нет,Тбилиси,5 гр,0.0242,12867,4769,433,175,,,,,,,,,,,,,5x Extasy Duracell 223mg MDMA.
34,13-04-2020 22:07:03,Tbilisi,SDQN,YummyShop,Cocaine Pure VHQ 5g.,True,1,нет,Тбилиси,5 гр,0.107,63231,23435,2129,860,,,,,,,,,,,,,Cocaine Pure VHQ 5g.
35,13-04-2020 22:07:25,Tbilisi,91Z98,Avocado,VHQ BEST Cocaine 5g.,True,2,нет,Тбилиси,5 гр,0.1126,66907,24798,2252,910,,,,,,,,,,,,,VHQ BEST Cocaine 5g.
36,13-04-2020 22:07:25,Tbilisi,A3I9,Joookerrr,Божественный эифорик!!! Марки нбоооом!!! 5 штук!!!,True,1,нет,Тбилиси,5 гр,0.0095,5638,2086,189,,,70,,,,,,,,,,,Bozhestvennyj eiforik!!! Marki nboooom!!! 5 shtuk!!!
37,13-04-2020 22:07:25,Tbilisi,6UG,Good Enuff,Мощные жирные марки 25i nbome 5шт. Готовые клады в Грузии от производителя!,True,5,нет,Тбилиси,5 гр,0.0068,4044,1499,136,55,,,,,,,,,,,,,Moschnye zhirnye marki 25i nbome 5sht. Gotovye klady v Gruzii ot proizvoditelja!
38,13-04-2020 22:07:25,Tbilisi,8B31,GEOWEEDSHOP,10 gr marijuana buds. -indica-,True,3,нет,Тбилиси,10 гр,0.0285,15367,5695,517,209,,,,,,,,,,,,,10 gr marijuana buds. -indica-
39,13-04-2020 22:07:25,Tbilisi,5ZOKU,AGROHUUB,"10g. Шишки Amnesia Haze, Сатива",,1,нет,Тбилиси,10 гр,0.0543,29336,10873,988,399,,,,,,,True,,,,,,"10g. Shishki Amnesia Haze, Sativa"
40,13-04-2020 22:07:25,Tbilisi,P5MBO,ToppoT,10pc. LSD California sunshine 200ug.✨✨🍃🍃🍃🍃✨✨,,1,нет,Тбилиси,10 гр,0.0497,26836,9946,903,365,,,,,True,,,,,,,,10pc. LSD California sunshine 200ug.✨✨🍃🍃🍃🍃✨✨
