,time_stamp,region,sell_code,sell_name,description,Тбилиси,готовых,предзаказ,город,вес,BTC,ք,₴,Br,$,Saburtalo,Vake,€,Old Tbilisi (Старый город),Авлобари,Батуми,Центр,Кутаиси,desc_en
0,27-02-2020 22:30:13,Tbilisi,LYHBG,Playboy,"0,5gr. Columbian Cocaine NEW SALE! SALE!**************NEW SALE! SALE!",True,1,нет,Тбилиси,0.5 гр,0.0118,7151,2678,244,109,,,,,,,,,"0,5gr. Columbian Cocaine NEW SALE! SALE!**************NEW SALE! SALE!"
1,27-02-2020 22:30:13,Tbilisi,P285,Trippyshop,"NEW Sale!! Cocaine 0,5 гр. HQ",True,4,нет,Тбилиси,0.5 гр,0.0108,6495,2432,222,99,,,,,,,,,"NEW Sale!! Cocaine 0,5 gr. HQ"
2,27-02-2020 22:30:13,Tbilisi,MJVS,Nordic,SUBUTEX B8 (ORIGINAL) 0.8 гр. (1 штука),True,5,нет,Тбилиси,0.8 гр,0.0161,9841,3686,336,150,,,,,,,,,SUBUTEX B8 (ORIGINAL) 0.8 gr. (1 shtuka)
3,27-02-2020 22:30:13,Tbilisi,18FB,Mr.Green Tbilis,1 G Hybrid Marijuana Buds За BТС 10% СКИДКА,True,7,нет,Тбилиси,1 гр,0.0047,3149,1179,107,48,,,,,,,,,1 G Hybrid Marijuana Buds Za BTS 10% SKIDKA
4,27-02-2020 22:30:13,Tbilisi,ABOAB,ProGrow,1G -- AK-47 -> Sativa,,14,нет,Тбилиси,1 гр,0.0039,2428,909,83,37,True,,,,,,,,1G -- AK-47 -> Sativa
5,27-02-2020 22:30:13,Tbilisi,X4ZM,ZYX,Afghan HQ buds ! NEW ! 1G,True,2,нет,Тбилиси,1 гр,0.0051,3084,1155,105,47,,,,,,,,,Afghan HQ buds ! NEW ! 1G
6,27-02-2020 22:30:13,Tbilisi,SDQN,YummyShop,Cocaine Pure VHQ 1g,True,2,нет,Тбилиси,1 гр,0.0186,12466,4668,425,190,,,,,,,,,Cocaine Pure VHQ 1g
7,27-02-2020 22:30:13,Tbilisi,X4ZM,ZYX,NEW ! Super Critical ! NEW ! Buds ! 1G,True,2,нет,Тбилиси,1 гр,0.0048,2952,1106,101,45,,,,,,,,,NEW ! Super Critical ! NEW ! Buds ! 1G
8,27-02-2020 22:30:13,Tbilisi,X4ZM,ZYX,NEW ! Super Skunk ! NEW ! BUDS ! 1g,True,2,нет,Тбилиси,1 гр,0.0048,2952,1106,101,45,,,,,,,,,NEW ! Super Skunk ! NEW ! BUDS ! 1g
9,27-02-2020 22:30:13,Tbilisi,P285,Trippyshop,NEW SALE Cocaine HQ 1 гр.,True,5,нет,Тбилиси,1 гр,0.0205,12400,4644,423,189,,,,,,,,,NEW SALE Cocaine HQ 1 gr.
