,time_stamp,region,sell_code,sell_name,description,Saburtalo,готовых,предзаказ,город,вес,BTC,ք,₴,Br,$,Тбилиси,Vake,Дигоми,€,Didube,Gldani,Old Tbilisi (Старый город),Авлобари,Батуми,Центр,Кутаиси,desc_en
0,21-03-2020 06:59:46,Tbilisi,V4T,COCAcoLA,HEROINE-999 0.25гр из авганистана! скидка при покупке BTC,True,4,нет,Тбилиси,0.25 гр,0.0267,14828,5339,486,190,,,,,,,,,,,,HEROINE-999 0.25gr iz avganistana! skidka pri pokupke BTC
1,21-03-2020 06:59:46,Tbilisi,C36EL,TripGuru,Iranian Black Heroin Old WHQ Не сырец 0.25g,,1,нет,Тбилиси,0.25 гр,0.0128,7024,2529,230,90,True,,,,,,,,,,,Iranian Black Heroin Old WHQ Ne syrets 0.25g
2,21-03-2020 06:59:46,Tbilisi,XH0NP,XX-PABLO-XX,Метадон - (KRISTAL) - VHQ - 0.27 G (SALE),,6,5,Тбилиси,0.27 гр,0.0358,19511,7025,640,250,True,,,,,,,,,,,Metadon - (KRISTAL) - VHQ - 0.27 G (SALE)
3,21-03-2020 06:59:46,Tbilisi,SDQN,YummyShop,Cocaine Pure VHQ 0.5g,,3,нет,Тбилиси,0.5 гр,0.0135,7726,2782,253,99,True,,,,,,,,,,,Cocaine Pure VHQ 0.5g
4,21-03-2020 06:59:46,Tbilisi,V4T,COCAcoLA,MDMA 0.5gr огромные камни!,,7,нет,Тбилиси,0.5 гр,0.0092,5073,1827,166,65,True,,,,,,,,,,,MDMA 0.5gr ogromnye kamni!
5,21-03-2020 06:59:46,Tbilisi,91Z98,Avocado,Pure COCAINE VHQ 0.5g,,1,нет,Тбилиси,0.5 гр,0.0163,9365,3372,307,120,True,,,,,,,,,,,Pure COCAINE VHQ 0.5g
6,21-03-2020 06:59:46,Tbilisi,JVZTQ,partyshop,1 ecstasy red maseratti фотки видно VHQ екстази импорт с США,,2,нет,Тбилиси,1 гр,0.0071,3902,1405,128,50,True,,,,,,,,,,,1 ecstasy red maseratti fotki vidno VHQ ekstazi import s SShA
7,21-03-2020 06:59:46,Tbilisi,BB6E,WEEDSH0P,"1 gr , california ,GORILLA GLUE марихуана BUDS btc sale 1%",,1,нет,Тбилиси,1 гр,0.0055,3044,1096,100,39,True,,,,,,,,,,,"1 gr , california ,GORILLA GLUE marihuana BUDS btc sale 1%"
8,21-03-2020 06:59:46,Tbilisi,SF03,CRAZYFROG,1 gr Шишки “OG KUSH VHQ”,,3,нет,Тбилиси,1 гр,0.0064,3512,1265,115,45,True,,,,,,,,,,,1 gr Shishki “OG KUSH VHQ”
9,21-03-2020 06:59:46,Tbilisi,ABOAB,ProGrow,1G ---> ONLY BUDS,True,8,нет,Тбилиси,1 гр,0.0046,2575,927,84,33,,,,,,,,,,,,1G ---> ONLY BUDS
10,21-03-2020 06:59:46,Tbilisi,1GT8,GREENGY,1g MDMA (IMPORTED),,2,нет,Тбилиси,1 гр,0.0163,9365,3372,307,120,True,,,,,,,,,,,1g MDMA (IMPORTED)
11,21-03-2020 06:59:46,Tbilisi,SDQN,YummyShop,Cocaine Pure VHQ 1g,,2,нет,Тбилиси,1 гр,0.0257,14750,5311,484,189,True,,,,,,,,,,,Cocaine Pure VHQ 1g
12,21-03-2020 06:59:46,Tbilisi,BP40,WakeShop,Metadon VHQ 1 24/7,,1,нет,Тбилиси,1 гр,0.085,46827,16860,1535,600,True,,,,,,,,,,,Metadon VHQ 1 24/7
