,time_stamp,region,sell_code,sell_name,description,Saburtalo,Nadzaladevi,готовых,предзаказ,город,вес,BTC,ք,₴,Br,$,Тбилиси,Old Tbilisi (Старый город),Vake,€,Didube,Авлобари,Центр,Батуми,Кутаиси,desc_en
0,05-04-2020 14:23:05,Tbilisi,A3I9,Joookerrr,"MDMA чистоган!!! ""Цуунаммииии удовольсвия""!!!! 0.2 грамм",True,True,3,нет,Тбилиси,0.2 гр,0.0045,2721,968,90,35,,,,,,,,,,"MDMA chistogan!!! ""Tsuunammiiii udovol'svija""!!!! 0.2 gramm"
1,05-04-2020 14:23:05,Tbilisi,V4T,COCAcoLA,HEROINE-999 0.5гр СКИДКИ КАРАНТИННЫе греча из авганистана! скидка при покупке BTC,True,,1,нет,Тбилиси,0.5 гр,0.0427,23320,8295,772,300,,,,,,,,,,HEROINE-999 0.5gr SKIDKI KARANTINNYe grecha iz avganistana! skidka pri pokupke BTC
2,05-04-2020 14:23:05,Tbilisi,V4T,COCAcoLA,MDMA 0.5gr огромные камни!,,,8,нет,Тбилиси,0.5 гр,0.0107,5830,2074,193,75,True,,,,,,,,,MDMA 0.5gr ogromnye kamni!
3,05-04-2020 14:23:05,Tbilisi,V4T,COCAcoLA,MEPHEDRONE 0.5 gr,,,9,нет,Тбилиси,0.5 гр,0.0078,4275,1521,141,55,True,,,,,,,,,MEPHEDRONE 0.5 gr
4,05-04-2020 14:23:05,Tbilisi,A3I9,Joookerrr,"MDMA чистоган!!! ""Цуунаммииии удовольсвия""!!!! 0.65 грамм",,,2,нет,Тбилиси,0.65 гр,0.0116,6996,2489,232,90,True,True,,,,,,,,"MDMA chistogan!!! ""Tsuunammiiii udovol'svija""!!!! 0.65 gramm"
5,05-04-2020 14:23:05,Tbilisi,JVZTQ,partyshop,1 Amnesia Haze марихуана шишки тгк 25%,,,6,нет,Тбилиси,1 гр,0.0063,3420,1217,113,44,True,,,,,,,,,1 Amnesia Haze marihuana shishki tgk 25%
6,05-04-2020 14:23:05,Tbilisi,JVZTQ,partyshop,1 ecstasy red maseratti фотки видно VHQ екстази импорт с США,,,4,нет,Тбилиси,1 гр,0.0071,3887,1383,129,50,True,,,,,,,,,1 ecstasy red maseratti fotki vidno VHQ ekstazi import s SShA
7,05-04-2020 14:23:05,Tbilisi,SF03,CRAZYFROG,1 gr Шишки “OG KUSH VHQ”,,,4,нет,Тбилиси,1 гр,0.0056,3032,1078,100,39,True,,,,,,,,,1 gr Shishki “OG KUSH VHQ”
8,05-04-2020 14:23:05,Tbilisi,V4T,COCAcoLA,HEROINE-999 1 гр из авганистана! скидка при покупке BTC,True,,5,нет,Тбилиси,1 гр,0.0854,46640,16590,1543,600,,,,,,,,,,HEROINE-999 1 gr iz avganistana! skidka pri pokupke BTC
9,05-04-2020 14:23:05,Tbilisi,A3I9,Joookerrr,MDMA 1 гр,,,2,2,Тбилиси,1 гр,0.0143,8574,2986,278,,True,,True,100,,,,,,MDMA 1 gr
