,Unnamed: 0,time_stamp,region,sell_code,description,Тбилиси,готовых,предзаказ,город,вес,BTC,ք,₴,Br,$,Saburtalo,€,Vake,Дигоми,Gldani,Old Tbilisi (Старый город),Авлобари,Батуми,Центр,Кутаиси,desc_en
0,0,05-02-2020 11:55:30,Tbilisi,61df6a1c90,Метадон 0.15гр,True,1,нет,Тбилиси,0.15 гр,0.0124,8246,3250,279,130.0,,,,,,,,,,,Metadon 0.15gr
1,1,05-02-2020 11:55:30,Tbilisi,8ec76151d3,Metadon VHQ 0.25 24/7,True,8,нет,Тбилиси,0.25 гр,0.0172,11418,4500,387,180.0,,,,,,,,,,,Metadon VHQ 0.25 24/7
2,2,05-02-2020 11:55:30,Tbilisi,c72111ac1a,"NZT-52 mind storm limited 0,3г мука",True,7,нет,Тбилиси,0.3 гр,0.0067,4440,1750,150,70.0,,,,,,,,,,,"NZT-52 mind storm limited 0,3g muka"
3,3,05-02-2020 11:55:30,Tbilisi,366326d4d6,0.5 g. Ketamine,True,7,нет,Тбилиси,0.5 гр,0.0063,3743,1475,127,59.0,,,,,,,,,,,0.5 g. Ketamine
4,4,05-02-2020 11:55:30,Tbilisi,8219f5e7b8,"Cocaine, 0.5 g",True,9,нет,Тбилиси,0.5 гр,0.0117,6978,2750,236,110.0,,,,,,,,,,,"Cocaine, 0.5 g"
5,5,05-02-2020 11:55:30,Tbilisi,be97026d1d,Columbia Cocaine VHQ 0.5 BTC SALE 5%,True,4,нет,Тбилиси,0.5 гр,0.0108,6661,2625,226,105.0,,,,,,,,,,,Columbia Cocaine VHQ 0.5 BTC SALE 5%
6,6,05-02-2020 11:55:30,Tbilisi,28bf667d16,Hashish Ice-o-lator 0.5g Promotion -5% for Bitcoin,True,10,нет,Тбилиси,0.5 гр,0.004,2537,1000,86,40.0,,,,,,,,,,,Hashish Ice-o-lator 0.5g Promotion -5% for Bitcoin
7,7,05-02-2020 11:55:30,Tbilisi,8219f5e7b8,Ketamine 0.5g,True,5,нет,Тбилиси,0.5 гр,0.0064,3806,1500,129,60.0,,,,,,,,,,,Ketamine 0.5g
8,8,05-02-2020 11:55:30,Tbilisi,be97026d1d,MDMA from Europe!!! 0.5g BTC SALE 5%,True,2,нет,Тбилиси,0.5 гр,0.0049,3045,1200,103,48.0,,,,,,,,,,,MDMA from Europe!!! 0.5g BTC SALE 5%
9,9,05-02-2020 11:55:30,Tbilisi,8ec76151d3,Metadon VHQ 0.5 24/7,True,3,нет,Тбилиси,0.5 гр,0.0286,19030,7500,644,300.0,,,,,,,,,,,Metadon VHQ 0.5 24/7
