,Unnamed: 0,time_stamp,region,sell_code,description,Тбилиси,готовых,предзаказ,город,вес,BTC,ք,₴,Br,$,Saburtalo,Varketili,Дигоми,Gldani,Vazisubani,Old Tbilisi (Старый город),Авлобари,Didube,Vake,Батуми,Центр,€,desc_en
0,0,14-08-2020 01:09:21,Tbilisi,f374062dcd,Очень мощный Сирец из Ирана 0.3гр,True,19,нет,Тбилиси,0.3 гр,0.0065,5889,2212,197,80.0,,,,,,,,,,,,,Ochen' moschnyj Sirets iz Irana 0.3gr
1,1,14-08-2020 01:09:21,Tbilisi,7c395c455d,0.5 gr Amnesia Haze шишки импорт с европы тгк 28%,True,2,нет,Тбилиси,0.5 гр,0.0028,2429,912,81,33.0,,,,,,,,,,,,,0.5 gr Amnesia Haze shishki import s evropy tgk 28%
2,2,14-08-2020 01:09:21,Tbilisi,0dec0e1c48,0.5 gr HYBRID buds,True,1,нет,Тбилиси,0.5 гр,0.0028,2429,912,81,33.0,,,,,,,,,,,,,0.5 gr HYBRID buds
3,3,14-08-2020 01:09:21,Tbilisi,21de5577be,0.5 gr. ️🍀 Jamaica Feminized 🇯🇲🇯🇲100% Natural/Hybrid,,4,нет,Тбилиси,0.5 гр,0.0026,2208,830,74,30.0,True,,,,,,,,,,,,0.5 gr. ️🍀 Jamaica Feminized 🇯🇲🇯🇲100% Natural/Hybrid
4,4,14-08-2020 01:09:21,Tbilisi,4659482266,0.5 г.Super Skunk top class buds! (подезд),,7,нет,Тбилиси,0.5 гр,0.0025,2135,802,71,29.0,,True,,,,,,,,,,,0.5 g.Super Skunk top class buds! (podezd)
5,5,14-08-2020 01:09:21,Tbilisi,ae784bef73,NEW ! Afghan HQ buds ! NEW ! 0.5G,True,1,нет,Тбилиси,0.5 гр,0.0026,2208,830,74,30.0,,,,,,,,,,,,,NEW ! Afghan HQ buds ! NEW ! 0.5G
6,6,14-08-2020 01:09:21,Tbilisi,ccc85b93d8,VHQ Hybrid MJ Buds 0.5G,True,6,нет,Тбилиси,0.5 гр,0.0021,1840,691,61,25.0,,,,,,,,,,,,,VHQ Hybrid MJ Buds 0.5G
7,7,14-08-2020 01:09:21,Tbilisi,4a91350669,1 Amnesia Haze марихуана шишки тгк 25%,,1,нет,Тбилиси,1 гр,0.0051,4416,1659,148,60.0,,,True,,,,,,,,,,1 Amnesia Haze marihuana shishki tgk 25%
8,8,14-08-2020 01:09:21,Tbilisi,89f7212915,1 G Hybrid Marijuana Buds,True,5,нет,Тбилиси,1 гр,0.0047,4048,1521,135,55.0,,,,,,,,,,,,,1 G Hybrid Marijuana Buds
9,9,14-08-2020 01:09:21,Tbilisi,bb1791277e,"1 gr , california ,GORILLA GLUE марихуана BUDS btc sale 1%",True,9,нет,Тбилиси,1 гр,0.0046,3975,1493,133,54.0,,,,,,,,,,,,,"1 gr , california ,GORILLA GLUE marihuana BUDS btc sale 1%"
10,10,14-08-2020 01:09:21,Tbilisi,7c395c455d,1 gr Amnesia Haze шишки импорт с европы тгк 28%,True,5,нет,Тбилиси,1 гр,0.0051,4416,1659,148,60.0,,,,,,,,,,,,,1 gr Amnesia Haze shishki import s evropy tgk 28%
11,11,14-08-2020 01:09:21,Tbilisi,bb1791277e,1 gr super lemon haze пробник,True,5,нет,Тбилиси,1 гр,0.0047,4048,1521,135,55.0,,,,,,,,,,,,,1 gr super lemon haze probnik
12,12,14-08-2020 01:09:21,Tbilisi,7c395c455d,1 marijuana BUDS northen lights 24% THC ШИШКИ!!!,True,4,нет,Тбилиси,1 гр,0.0045,3901,1465,130,53.0,,,,,,,,,,,,,1 marijuana BUDS northen lights 24% THC ShIShKI!!!
13,13,14-08-2020 01:09:21,Tbilisi,69672fee0d,1 г Skunk #1 марихуана шишки тгк 29% VHQ,True,4,нет,Тбилиси,1 гр,0.0047,4048,1521,135,55.0,,,,,,,,,,,,,1 g Skunk #1 marihuana shishki tgk 29% VHQ
14,14,14-08-2020 01:09:21,Tbilisi,4659482266,1 г.Super Skunk top class buds! (подезд),,5,нет,Тбилиси,1 гр,0.0047,4048,1521,135,55.0,,True,,True,,,,,,,,,1 g.Super Skunk top class buds! (podezd)
15,15,14-08-2020 01:09:21,Tbilisi,4a91350669,1 шишки Girl Scout Cookies тгк thc 28%,,9,нет,Тбилиси,1 гр,0.0049,4269,1604,143,58.0,,,True,,,,,,,,,,1 shishki Girl Scout Cookies tgk thc 28%
16,16,14-08-2020 01:09:21,Tbilisi,7918572a66,1G TYson Budds Скидка 5%,True,18,нет,Тбилиси,1 гр,0.0033,2944,1106,98,40.0,True,,,,,,,,,,,,1G TYson Budds Skidka 5%
17,17,14-08-2020 01:09:21,Tbilisi,cb721d4bca,"1GR GORILLA GLUE AUTO Шишки ,Оплата BITCOIN -10% Скидка",True,1,нет,Тбилиси,1 гр,0.0047,4048,1521,135,55.0,,,,,,,,,,,,,"1GR GORILLA GLUE AUTO Shishki ,Oplata BITCOIN -10% Skidka"
18,18,14-08-2020 01:09:21,Tbilisi,67187efef3,1g hindu kish best buds BTC 1% SALE,True,1,нет,Тбилиси,1 гр,0.0043,3754,1410,125,51.0,,,,,,,,,,,,,1g hindu kish best buds BTC 1% SALE
19,19,14-08-2020 01:09:21,Tbilisi,e56bb6ca93,1g 🍁🌿WEST COAST 420 O.G🍁🌿 (HIGH QUALITY),True,5,нет,Тбилиси,1 гр,0.004,3460,1300,116,47.0,,,,,,,,,,,,,1g 🍁🌿WEST COAST 420 O.G🍁🌿 (HIGH QUALITY)
20,20,14-08-2020 01:09:21,Tbilisi,0dec0e1c48,1g 🍁🍁🍁NEW glueberry o.g Dutch Passion Strain. (High quality)🌿🌿🌿,True,4,нет,Тбилиси,1 гр,0.0041,3533,1327,118,48.0,,,,,,,,,,,,,1g 🍁🍁🍁NEW glueberry o.g Dutch Passion Strain. (High quality)🌿🌿🌿
