,time_stamp,region,sell_code,sell_name,description,Тбилиси,готовых,предзаказ,город,вес,BTC,ք,₴,Br,€,Дигоми,$,Gldani,Vazisubani,Saburtalo,Vake,Didube,Nadzaladevi,Old Tbilisi (Старый город),Авлобари,Батуми,Центр,desc_en
0,19-06-2020 02:33:27,Tbilisi,A3I9,Joookerrr,Heroin (sirec) made from Azerbaijan 0.2 гр.,True,2,нет,Тбилиси,0.2 гр,0.0094,7046,2723,241,90,,,,,,,,,,,,,Heroin (sirec) made from Azerbaijan 0.2 gr.
1,19-06-2020 02:33:27,Tbilisi,EIH4,San4oPan4o,!!! Iranian Sirec 0.25g !!! Героин(сырец) Олдовый(Лучшее качество) !!! BTC SALE 5%!!!! SALE !!!!,,1,нет,Тбилиси,0.25 гр,0.0123,8534,3297,292,109,True,,,,,,,,,,,,!!! Iranian Sirec 0.25g !!! Geroin(syrets) Oldovyj(Luchshee kachestvo) !!! BTC SALE 5%!!!! SALE !!!!
2,19-06-2020 02:33:27,Tbilisi,C36EL,TripGuru,NEW Iranian Sirec 0.25g.,True,2,нет,Тбилиси,0.25 гр,0.0103,6962,2690,238,,,100,,,,,,,,,,,NEW Iranian Sirec 0.25g.
3,19-06-2020 02:33:27,Tbilisi,6P9R,RickNMorty,NEW!!! Columbian Winter Meds C O K E 90% Pure VHQ A+++ 0.5G,,1,нет,Тбилиси,0.5 гр,0.0173,11765,4546,403,,,169,True,,,,,,,,,,NEW!!! Columbian Winter Meds C O K E 90% Pure VHQ A+++ 0.5G
4,19-06-2020 02:33:27,Tbilisi,6P9R,RickNMorty,RickNMorty's Hybrid's Buds ONLY high THc 0.5,True,9,нет,Тбилиси,0.5 гр,0.0031,2089,807,71,,,30,,True,,,,,,,,,RickNMorty's Hybrid's Buds ONLY high THc 0.5
5,19-06-2020 02:33:27,Tbilisi,2LA7,ACROBATS,Марихуана бошки OG KUSH этим все сказано 0.5г.,,1,нет,Тбилиси,0.5 гр,0.003,2019,780,69,,,29,,,True,,,,,,,,Marihuana boshki OG KUSH etim vse skazano 0.5g.
6,19-06-2020 02:33:27,Tbilisi,SDQN,YummyShop,Cocaine Pure VHQ 1g,True,5,нет,Тбилиси,1 гр,0.0307,20816,8043,712,,,299,,,,,,,,,,,Cocaine Pure VHQ 1g
7,19-06-2020 02:33:27,Tbilisi,A3I9,Joookerrr,Марки н-боооом!!! 1 шт.,True,1,нет,Тбилиси,1 гр,0.0018,1253,484,43,,,18,,,,,,,,,,,Marki n-boooom!!! 1 sht.
8,19-06-2020 02:33:27,Tbilisi,9VLN,AlienShop,☃️❄1g. New Columbian COCAINE!!❄☃️,,3,нет,Тбилиси,1 гр,0.0248,16639,6429,569,,,239,True,,True,,,,,,,,☃️❄1g. New Columbian COCAINE!!❄☃️
9,19-06-2020 02:33:27,Tbilisi,18FB,Mr.Green Tbilis,2 G Hybrid Marijuana Buds,True,8,нет,Тбилиси,2 гр,0.0122,8285,3201,283,,,119,,,,,,,,,,,2 G Hybrid Marijuana Buds
10,19-06-2020 02:33:27,Tbilisi,03F3,geoshop,2 gr Amnesia Haze шишки импорт с европы тгк 28%,,4,нет,Тбилиси,2 гр,0.0123,8354,3228,286,,,120,,,,True,,,,,,,2 gr Amnesia Haze shishki import s evropy tgk 28%
11,19-06-2020 02:33:27,Tbilisi,1MZLP,WeedbooM,✿ 2gr Hybrid Weed Indica Buds VHQ ❤,,2,нет,Тбилиси,2 гр,0.0087,5918,2287,202,,,85,,,True,True,,,,,,,✿ 2gr Hybrid Weed Indica Buds VHQ ❤
12,19-06-2020 02:33:27,Tbilisi,8B31,GEOWEEDSHOP,АКЦИЯ! СУПЕР ЦЕНА! 3 gr Indica dominant Buds,,6,нет,Тбилиси,3 гр,0.0071,4804,1856,164,,,69,,True,True,,True,,,,,,AKTsIJa! SUPER TsENA! 3 gr Indica dominant Buds
