,time_stamp,region,sell_code,sell_name,description,Тбилиси,готовых,предзаказ,город,вес,BTC,ք,₴,Br,$,Saburtalo,Gldani,Дигоми,€,Didube,Old Tbilisi (Старый город),Авлобари,Батуми,Центр,Кутаиси,desc_en
0,16-03-2020 22:27:38,Tbilisi,C36EL,TripGuru,Iranian Black Heroin Old WHQ Не сырец 0.25g,True,2,нет,Тбилиси,0.25 гр,0.0156,6671,2498,211,90,,,,,,,,,,,Iranian Black Heroin Old WHQ Ne syrets 0.25g
1,16-03-2020 22:27:38,Tbilisi,XH0NP,XX-PABLO-XX,Метадон - (KRISTAL) - VHQ - 0.27 G (SALE),True,10,10,Тбилиси,0.27 гр,0.0398,16827,6299,531,227,,,,,,,,,,,Metadon - (KRISTAL) - VHQ - 0.27 G (SALE)
2,16-03-2020 22:27:38,Tbilisi,LYHBG,Playboy,"0,5gr. Columbian Cocaine NEW SALE! SALE!**************NEW SALE! SALE!",True,6,нет,Тбилиси,0.5 гр,0.0191,8080,3025,255,109,,,,,,,,,,,"0,5gr. Columbian Cocaine NEW SALE! SALE!**************NEW SALE! SALE!"
3,16-03-2020 22:27:38,Tbilisi,V4T,COCAcoLA,COCAINE VHQ!!! 0.5gr,,10,нет,Тбилиси,0.5 гр,0.0172,8080,3025,255,109,True,,,,,,,,,,COCAINE VHQ!!! 0.5gr
4,16-03-2020 22:27:38,Tbilisi,SDQN,YummyShop,Cocaine Pure VHQ 0.5g,True,2,нет,Тбилиси,0.5 гр,0.0165,7339,2747,232,99,,,,,,,,,,,Cocaine Pure VHQ 0.5g
5,16-03-2020 22:27:38,Tbilisi,V4T,COCAcoLA,MEPHEDRONE 0.5 лучший меф! лечит корона вирус!!!))),,22,нет,Тбилиси,0.5 гр,0.014,6597,2470,208,89,True,,,,,,,,,,MEPHEDRONE 0.5 luchshij mef! lechit korona virus!!!)))
6,16-03-2020 22:27:38,Tbilisi,91Z98,Avocado,Pure COCAINE VHQ 0.5g,True,4,нет,Тбилиси,0.5 гр,0.0181,8080,3025,255,109,,,,,,,,,,,Pure COCAINE VHQ 0.5g
7,16-03-2020 22:27:38,Tbilisi,JVZTQ,partyshop,1 ecstasy red maseratti фотки видно VHQ екстази импорт с США,True,3,нет,Тбилиси,1 гр,0.0087,3706,1388,117,50,,,,,,,,,,,1 ecstasy red maseratti fotki vidno VHQ ekstazi import s SShA
8,16-03-2020 22:27:38,Tbilisi,ABOAB,ProGrow,1G ---> ONLY BUDS,True,3,нет,Тбилиси,1 гр,0.0066,2891,1082,91,39,,,,,,,,,,,1G ---> ONLY BUDS
9,16-03-2020 22:27:38,Tbilisi,03F3,geoshop,2 фото видно ecstasy RED MASERATI 300mg md екстази топ !! скидка за бтк,True,6,нет,Тбилиси,1 гр,0.0139,5930,2220,187,80,,,,,,,,,,,2 foto vidno ecstasy RED MASERATI 300mg md ekstazi top !! skidka za btk
10,16-03-2020 22:27:38,Tbilisi,42AF,Leningrad6,Amsterdam weed sativa 1гр,True,7,нет,Тбилиси,1 гр,0.008,3410,1277,108,46,,,,,,,,,,,Amsterdam weed sativa 1gr
11,16-03-2020 22:27:38,Tbilisi,SDQN,YummyShop,Cocaine Pure VHQ 1g,True,5,нет,Тбилиси,1 гр,0.0298,13269,4967,419,179,,,,,,,,,,,Cocaine Pure VHQ 1g
12,16-03-2020 22:27:38,Tbilisi,V4T,COCAcoLA,MDMA 1gr лучший товар на площадке!,,3,нет,Тбилиси,1 гр,0.0191,8154,3053,257,110,True,,,,,,,,,,MDMA 1gr luchshij tovar na ploschadke!
13,16-03-2020 22:27:38,Tbilisi,BP40,WakeShop,Metadon VHQ 1 24/7,True,5,нет,Тбилиси,1 гр,0.0867,40769,15263,1287,550,,,,,,,,,,,Metadon VHQ 1 24/7
14,16-03-2020 22:27:38,Tbilisi,91Z98,Avocado,VHQ BEST Cocaine 1g.,True,4,нет,Тбилиси,1 гр,0.0331,14751,5522,466,199,,,,,,,,,,,VHQ BEST Cocaine 1g.
15,16-03-2020 22:27:38,Tbilisi,V4T,COCAcoLA,cocaine 1gr СУПЕР COCA!!!,,6,нет,Тбилиси,1 гр,0.0315,14825,5550,468,200,True,,,,,,,,,,cocaine 1gr SUPER COCA!!!
16,16-03-2020 22:27:38,Tbilisi,5LZ,ExtraShop,Кокаин HQ 1г.,True,2,нет,Тбилиси,1 гр,0.0324,14010,5245,442,189,,,,,,,,,,,Kokain HQ 1g.
17,16-03-2020 22:27:38,Tbilisi,1IZXK,BadboysTbl,Метадон 1гр,True,1,нет,Тбилиси,1 гр,0.1419,66714,24975,2106,900,,,,,,,,,,,Metadon 1gr
18,16-03-2020 22:27:38,Tbilisi,6UG,Good Enuff,"Мощнейшие марки 25I nbome 1 шт. Готовые клады в Грузии, от производителя!",True,4,нет,Тбилиси,1 гр,0.0032,1483,555,47,20,,True,,,,,,,,,"Moschnejshie marki 25I nbome 1 sht. Gotovye klady v Gruzii, ot proizvoditelja!"
19,16-03-2020 22:27:38,Tbilisi,18FB,Mr.Green Tbilis,2 G Hybrid Marijuana Buds За BТС 10% СКИДКА,True,16,нет,Тбилиси,2 гр,0.0142,6671,2498,211,90,,,,,,,,,,,2 G Hybrid Marijuana Buds Za BTS 10% SKIDKA
20,16-03-2020 22:27:38,Tbilisi,SF03,CRAZYFROG,2 gr Шишки “OG KUSH VHQ”,True,1,нет,Тбилиси,2 гр,0.0137,5856,2192,185,79,,,,,,,,,,,2 gr Shishki “OG KUSH VHQ”
21,16-03-2020 22:27:38,Tbilisi,QUZIV,Hollyweed,2g super Skunk top class buds. Indica,,1,нет,Тбилиси,2 гр,0.0138,5856,2192,185,79,,,True,,,,,,,,2g super Skunk top class buds. Indica
22,16-03-2020 22:27:38,Tbilisi,LYHBG,Playboy,2gr. Columbian Cocaine !!!!!!!!MEGA SALE!*****MEGA SALE!!!!!!!!!!,True,4,нет,Тбилиси,2 гр,0.0631,26685,9990,842,360,,,,,,,,,,,2gr. Columbian Cocaine !!!!!!!!MEGA SALE!*****MEGA SALE!!!!!!!!!!
23,16-03-2020 22:27:38,Tbilisi,91Z98,Avocado,VHQ BEST Cocaine 2g.,True,1,нет,Тбилиси,2 гр,0.0615,28909,10823,913,390,,,,,,,,,,,VHQ BEST Cocaine 2g.
24,16-03-2020 22:27:38,Tbilisi,A3I9,Joookerrr,Божественный эифорик!!! Марки нбоооом!!! 2 штуки,True,2,нет,Тбилиси,2 гр,0.0055,2594,971,82,35,,,,,,,,,,,Bozhestvennyj eiforik!!! Marki nboooom!!! 2 shtuki
25,16-03-2020 22:27:38,Tbilisi,0WE,Khachapuri,3 gr mdma (скидка в биткоин 5%),True,1,нет,Тбилиси,3 гр,0.0464,20687,7693,654,,,,,250,,,,,,,3 gr mdma (skidka v bitkoin 5%)
